Status,Claim,Claim Type,Food,NEW Food Type,Food Type,Food Matrix OLD,Regulation specifications,NEW Food Matrix,Food Ontology Term,Food Amount OLD,NEW Food Amount,Unit,Value,Frequency,Target population,Target population ontology term,Extra information,Phenotype,Phenotype Ontology Term,Phenotype Onto Term Match,Relationship-effect,Health relationship,EFSA Opinion Reference,Supporting Evidence Text 1,Supporting Evidence Reference 1,Supporting Evidence Text 2,Supporting Evidence Reference 2,Supporting Evidence Text 3,Supporting Evidence Reference 3,Supporting Evidence Text 4,Supporting Evidence Reference 4,Supporting Evidence Text 5,Supporting Evidence Reference,Supporting Evidence Text 5,Supporting Evidence Reference 5,Supporting Evidence Text 6,Supporting Evidence Reference 6,Supporting Evidence Text 7,Supporting Evidence Reference 7,Supporting Evidence Text 8,Supporting Evidence Reference 8,Supporting Evidence Text 9,Supporting Evidence Reference 9
Finished,Chitosan contributes to the maintenance of normal blood cholesterol levels,Art. 13(1),Chitosan,Compound,BioactiveCompound,May be used only for food which contains a daily intake of 3g of chitosan,,"Matrix: food (general)
Must contain: chitosan
- Unit: g/day
- Value: 3",https://foodb.ca/compounds/FDB015634,Daily intake of 3g of chitosan,"Unit: g/day
Value: 3",g,3,day,Adults,age: http://bioportal.bioontology.org/ontologies/MESH?p=classes&conceptid=D000328,,Normal blood cholesterol,http://purl.bioontology.org/ontology/MEDDRA/10005426,Exact Match,Maintenance of a function,Maintenance of normal blood LDL-cholesterol concentrations,2011;9(6):2214,"When the trials were limited to those that used chitosan alone as intervention (Ho et al., 2001; Macchi, 1996; Ni Mhurchu et al., 2004; Pittler et al., 1999; Zahorska-Markiewicz et al., 2002), a small but statistically significant reduction in total cholesterol concentrations of -0.15 mmol/L (95 % CI -0.23 to -0.07, p=0.0002) was observed. Similar results were obtained when the analyses were limited to trials that met the allocation concealment quality criteria (Ni Mhurchu et al., 2004; Pittler et al., 1999) (-0.15 mmol/L; 95 % CI -0.23 to -0.07, p=0.0004). The I2 -statistic indicated substantial heterogeneity (I2 =59.5 %)",Ho et al. (2001): PMID 11361230; Macchi (1996): no DOI; Ni Mhurchu et al. (2004): 10.1038/sj.ijo.0802693; Pittler et al. (1999): 10.1038/sj.ejcn.1600733; Zahorska-Markiewicz et al. (2002): PMID 12420344 ,"the largest study, by Ni Mhurchu et al. (2004), which included 250 subjects (125 per group), observed a small but statistically significant reduction in LDL-cholesterol concentrations in favour of chitosan (-0.12 mmol/L, 95 % CI -0.19 to -0.05). Similar results were obtained when the analysis was limited to the two studies of 6 months duration (-0.14 mmol/L, 95 % CI -0.19 to -0.06) (Ni Mhurchu et al., 2004; Zahorska-Markiewicz et al., 2002).",Ni Mhurchu et al. (2004): 10.1038/sj.ijo.0802693; Zahorska-Markiewicz et al. (2002): PMID 12420344 ,,,,,,,,,,,,,,,,
Finished,Chloride contributes to normal digestion by production of hydrochloric acid in the stomach,Art. 13(1),Chloride,Nutrient,Micronutrient,May be used only for food which is at least a source of chloride as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' in Reg. No. 1924/2006,"800 mg. 

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 800 is 120. ","Matrix: food (general)
Must contain: chloride
- Unit: mg/100g or mg/100ml or mg/portion
- Value: ≥120",https://foodb.ca/compounds/FDB006557,,"Unit: mg/100g or mg/100ml or mg/portion 
Value: ≥120",mg ,≥120,100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,"The claim cannot be used on chloride from the source sodium chloride

Can be easily consumed as part of a balanced diet",Normal digestion by gastric acid,http://www.informatics.jax.org/vocab/gene_ontology/GO:0001696,Close Match,Maintenance of a function,Contribution to normal digestion by production of hydrochloric acid in the stomach ,2010;8(10):1764,"According to generally accepted scientific knowledge, chloride is an essential part of the human diet and is a part of most body fluids including blood, sweat, and tears. The amount of chloride in the body is controlled by the kidneys. The normal blood reference range of chloride for adults is 95 to 105  mmol per litre. There is usually no chloride deficiency in the human diet, and in Europe the intake tends to be higher than required (Elmadfa and Freisling, 2009). Six references cited include general reviews and handbook chapters (Bedanier, 2002; Garrow et al., 2000; Gibney et al., 2002; Mann and Truswell, 2002) and two technical reports (EVM, 2002; JHCI, 2003). It is well established that the chloride anion is an essential component of gastric juice acting as dissociated hydrochloric acid in the stomach. Chloride aids digestion by providing chloride for hydrochloric acid, an essential component of human digestive fluid.",Bedanier (2002): ISBN 9781466505711; Garrow et al. (2000): ISBN 0443056277; Gibney et al. (2002): ISBN 9781405168076; Mann and Truswell (2002): ISBN 0199566348; EVM (2002): no ref; JHCI (2003): link ,,,,,,,,,,,,,,,,,,
Finished,Choline contributes to normal homocysteine metabolism,Art. 13(1),Choline,Nutrient,Micronutrient,"May be used only for food which contains at least 82,5mg of choline per 100g or 100ml or per single portion of food. ",,"Matrix: food (general)
Must contain: choline
- Unit: mg/100g or mg/100ml or mg/portion
- Value: ≥82,5",https://foodb.ca/compounds/FDB000710,,"Unit: mg/100g or mg/100ml or mg/portion
Value: 82,5",mg,"82,5",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Normal blood homocysteine,http://purl.bioontology.org/ontology/MEDDRA/10049736,Exact Match,Maintenance of a function,Contribution to normal homocysteine metabolism,2011;9(4):2056,"In a placebo-controlled cross-over study, Olthof et al. (2005) investigated the effect of supplemental choline (2.6 g/day as phosphatidylcholine) for two weeks on plasma homocysteine concentrations after an overnight fast, as well as after an oral methionine load in 26 men with mildly elevated homocysteine concentrations (14.7 3.4 mol/L). Phosphatidylcholine supplementation for two weeks significantly decreased mean fasting plasma homocysteine concentrations by 18 % (-3.0 mol/L; 95 % CI: -3.9, -2.1 mol/L). A single dose of phosphatidylcholine containing 1.5 g choline significantly reduced the postmethionine-loading increase in homocysteine by 15 % (-4.8 mol/L; 95 % CI: -6.8, -2.8 mol/L) on the first day of supplementation, and phosphatidylcholine supplementation for two weeks significantly reduced the postmethionine-loading increase in homocysteine by 29 % (-9.2 mol/L; 95 % CI: -11.3, -7.2 mol/L). All changes were relative to placebo. The Panel notes that the doses of choline used in this study are several times above the proposed conditions of use",Olthof et al. (2005): 10.1093/ajcn.82.1.111,"In one small (pilot) depletion study, eight men were fed a “choline-sufficient” diet providing 550 mg choline per day for 10 days followed by a choline-deficient diet (<50 mg/day) for 42 days, or until the subjects were clinically judged to be choline deficient (i.e. evaluated as the development of hepatic steatosis assessed by magnetic resonance imaging), whichever came first (da Costa et al., 2005). Plasma concentrations of homocysteine were assessed in fasting and four hours after an oral methionine load (100 mg/kg body weight) on day 10 of the diet containing 550 mg choline per day, and after 42 days of the choline-deficient diet (or when deficiency was diagnosed). The diets met or exceeded the estimated average requirement for methionine plus cysteine and the daily reference intake for vitamin B6, vitamin B12, and folate (400 dietary folate equivalents per day). Four subjects developed hepatic steatosis during the choline depletion phase, and four subjects did not by day 42. In all eight human subjects, plasma choline and betaine concentrations fell 30 % and 47 %, respectively, at the end of the depletion phase (P<0.005). Subjects who were judged to be clinically depleted had decreases in plasma choline and betaine concentrations which were not different from those observed in subjects not deemed to be clinically depleted. At the end of the depletion phase, plasma concentrations of homocysteine at fast and four hours after an oral methionine load significantly increased only in subjects clinically choline-depleted, as compared to the “choline sufficient” phase.",Da Costa et al. (2005): 10.1093/ajcn.81.2.440,"In a cohort of the Framingham Offspring Study (Cho et al., 2006) an inverse association was observed between choline, betaine, and choline plus betaine intakes measured by validated food frequency questionnaires (FFQ) and plasma total homocysteine concentrations in 1,960 subjects (1,040 women) independent of age, sex, smoking, alcohol intake, caffeine intake, hypertensive medication use, serum creatinine concentrations and intakes of folate, vitamin B6 and vitamin B12. The energy-adjusted mean (±SD) intakes of choline and betaine were 313±61 mg/day (314 mg per day for women and 312 mg per day for men) and 208±90 mg per day (216 mg per day for women and 200 mg per day for men), respectively",Cho et al. (2006): 10.1093/ajcn/83.4.905,"In a prospective cohort study (Dalmeijer et al., 2008) which investigated the association between
dietary intakes of folate, betaine and choline and the risk of cardiovascular disease (CVD) in a cohort
of 16,165 women, aged 49-70 years, without prior CVD, intakes of folate, betaine and choline were
assessed using a validated FFQ at baseline. Median follow-up period was 97 months. Homocysteine
concentrations were assessed in the blood of a randomly selected sample of women (n=910). High
folate and choline intakes were statistically significantly associated with lower homocysteine
concentrations, whereas no statistically significant association was observed for betaine. Mean intakes
of betaine, choline and folate were 214 74, 300 51 and 195 40 mg/day, respectively.",Dalmeijer et al. (2008): 10.1038/sj.ejcn.1602725,,,,,,,,,,,,
Finished,Choline contributes to normal lipid metabolism,Art. 13(1),Choline,Nutrient,Micronutrient,"May be used only for food which contains at least 82,5mg of choline per 100g or 100ml or per single portion of food. ",,"Matrix: food (general)
Must contain: choline
- Unit: mg/100g or mg/100ml or mg/portion
- Value: ≥82,5",https://foodb.ca/compounds/FDB000710,,"Unit: mg/100g or mg/100ml or mg/portion
Value: 82,5",mg,"82,5",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Normal lipid metabolism,http://www.informatics.jax.org/vocab/gene_ontology/GO:0006629,Exact Match,Maintenance of a function,Contribution to normal lipid metabolism,2011;9(4):2056,"It is well established that choline functions as a precursor of phospholipids, and plays a role in the structural integrity of cell membranes (IoM, 1998). Phosphatidylcholine is the predominant phospholipid (>50 %) in the cell membranes. It is also well established that choline plays a role in lipid and cholesterol transport and metabolism. Dietary choline deficiency is associated with liver damage (elevated serum alanine aminotransferase activity) and the development of fatty liver (hepatosteatosis) in humans fed choline-deficient total parenteral nutrition solutions, as well as in men and post-menopausal women (but not in pre-menopausal women) fed choline-deficient diets (da Costa et al., 2005; Fischer et al., 2007; IoM, 1998; Kohlmeier et al., 2005; Zeisel, 2006). These effects can be reversed by the administration of dietary choline (Buchman et al., 1992; 1995; da Costa et al., 2005). Most of the choline-deficient diets used in these studies were adequate for methionine and folate, and for vitamin B12 in some cases. The effect of choline-deficient diets on lipid transport and metabolism, assessed by the amount of fat accretion in the liver, appears to depend on genetic variations of, for example, the 5,10-methylenetetrahydrofolate dehydrogenase, the phosphatidylethanolamine N-methyltransferase, and/or the choline dehydrogenase genes, as well as on oestrogen status (i.e. de novo choline synthesis of phosphatidylcholine is up-regulated by oestrogen) (da Costa et al., 2006; Kohlmeier et al., 2005)",IoM (1998): 10.17226/6015; da Costa et al. (2006): 10.1096/fj.06-5734com; Kohlmeier et al. (2005): 10.1073/pnas.0504285102,No studies on specific effects of supplemental choline on lipid metabolism were included in the references provided.,,,,,,,,,,,,,,,,,
Finished,Choline contributes to the maintenance of normal liver function,Art. 13(1),Choline,Nutrient,Micronutrient,"May be used only for food which contains at least 82,5mg of choline per 100g or 100ml or per single portion of food. ",,"Matrix: food (general)
Must contain: choline
- Unit: mg/100g or mg/100ml or mg/portion
- Value: ≥82,5",https://foodb.ca/compounds/FDB000710,,"Unit: mg/100g or mg/100ml or mg/portion
Value: 82,5",mg,"82,5",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Normal liver function,http://www.informatics.jax.org/vocab/gene_ontology/GO:0001889,Close Match,Maintenance of a function,Maintenance of normal liver function,2011;9(4):2056,"It is well established that choline deficiency is associated with liver damage (elevated serum alanine aminotransferase activity) and the development of fatty liver (hepatosteatosis) in humans fed cholinefree total parenteral nutrition solutions, as well as in men and post-menopausal women (but not in premenopausal women) fed choline-deficient diets (Kohlmeier et al., 2005) or a choline-deficient diet with adequate amounts of methionine, folate and occasionally vitamin B12 (da Costa et al., 2005; Fischer et al., 2007; IoM, 1998; Zeisel, 2006). These effects can be reversed by the administration of dietary choline (Buchman et al., 1992; 1995; da Costa et al., 2005). The effect of choline-deficient diets on fat accretion in the liver appears to depend on genetic variations of, for example, the 5,10-methylenetetrahydrofolate dehydrogenase, the phosphatidylethanolamine N-methyltransferase, and/or the choline dehydrogenase genes, as well as on oestrogen status (i.e. de novo choline synthesis of phosphatidylcholine is up-regulated by oestrogen) (da Costa et al., 2006; Kohlmeier et al., 2005)",Kohlmeier et al. (2005): 10.1073/pnas.0504285102; da Costa et al. (2005): 10.1093/ajcn.81.2.440; Fischer et al. (2007): 10.1093/ajcn/85.5.1275; IoM (2008): 10.17226/6015; Zeisel (2006): 10.1146/annurev.nutr.26.061505.111156; Buchman et al. (1992): PMID 1551541; Buchman et al. (1995): PMID 7590654; da Costa et al. (2006): 10.1096/fj.06-5734com,,,,,,,,,,,,,,,,,,
Finished,Chromium contributes to normal macronutrient metabolism,Art. 13(1),Chromium,Nutrient,Micronutrient,May be used only for food which is at least a source of trivalent chromium as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' (Reg. No. 1924/2006). ,"40 μg

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 40 is 6.","Matrix: food (general)
Must contain: trivalent chromium
- Unit: μg/100g or μg/100ml or μg/portion
- Value: ≥6",https://foodb.ca/compounds/FDB003516,,"Unit: μg/100g or μg/100ml or μg/portion 
Value: ≥6",μg,≥6,100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Normal macronutrient metabolism,http://www.informatics.jax.org/vocab/gene_ontology/GO:0031670,Close Match,Maintenance of a function,Contribution to normal macronutrient metabolism,"2010;8(10):1732,","Although there is no consensus about the mechanism by which chromium could exert these effects, consensus opinions from authoritative bodies are generally in agreement that chromium facilitates the action of insulin, thus contributing to macronutrient metabolism (SCF, 1993; IoM, 2001; EVM, 2002).",SCF (1993): link; IoM (2001): 10.17226/10026; EVM (2002): no ref,,,,,,,,,,,,,,,,,,
Finished,Chromium contributes to the maintenance of normal blood glucose levels,Art. 13(1),Chromium,Nutrient,Micronutrient,May be used only for food which is at least a source of trivalent chromium as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' (Reg. No. 1924/2006). ,"40 μg

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 40 is 6.","Matrix: food (general)
Must contain: trivalent chromium
- Unit: μg/100g or μg/100ml or μg/portion
- Value: ≥6",https://foodb.ca/compounds/FDB003516,,"Unit: μg/100g or μg/100ml or μg/portion 
Value: ≥6",μg,≥6,100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Normal blood glucose,http://purl.bioontology.org/ontology/MEDDRA/10005558,Exact Match,Maintenance of a function,Maintenance of normal blood glucose concentrations,"2010;8(10):1732, 2011;9(6):2203","Hyperglycaemia is a common feature of chromium depletion in humans, which is reversed by the administration of chromium (Jeejeebhoy et al., 1977; Freund et al., 1979; Brown et al., 1986; SCF, 1993; IoM, 2001; EVM, 2002).",Jeejeebhoy et al. (1977): 10.1093/ajcn/30.4.531; Freund et al. (1979): 10.1001/jama.1979.03290310036012; Brown et al. (1986): 10.1007/BF01318699; SCF (2003): link; IoM (2001): 10.17226/10026; EVM (2002): link ,,,,,,,,,,,,,,,,,,
Finished,Consumption of hydroxypropyl methylcellulose with a meal contributes to a reduction in the blood glucose rise after that meal ,Art. 13(1),Hydroxypropyl methylcellulose (HPMC),Compound,BioactiveCompound,May be used only for food which contains 4g of HPMC per quantified portion as part of the meal. ,,"Matrix: food (general)
Must contain: HPMC
- Unit: g/portion 
- Value: 4",https://foodb.ca/compounds/FDB011397,4g of HPMC per quantified portion as part of the meal,"Unit: g/portion
Value: 4",g,4,portion,Adults willing to reduce their post-prandial glycaemic responses,"age: http://purl.bioontology.org/ontology/MESH/D000328 
socialContext: ""willing to reduce their post-prandial glycaemic responses""",Warning of choking to be given for people with swallowing difficulties or when ingesting with inadequate fluid intake. advice on taking with plenty of water to ensure substance reaches stomach. ,Increased blood glucose,http://purl.bioontology.org/ontology/MEDDRA/10005557,Exact Match,Reducing a risk factor,Reduction of post-prandial glycaemic responses,2010;8(10):1739,"The influence of HPMC on postprandial glucose and insulin responses was investigated in 31 overweight and obese non-diabetic men and women (Maki et al., 2007). Test meals containing 75 g carbohydrate plus 4 or 8 g HPMC or 8 g cellulose (control) were administered to all subjects in a randomised, double-blind fashion, and at least 72 hours apart. Venous blood samples for plasma glucose and serum insulin analyses were collected at 15, 30, 45, 60, 90, 120, 150, and 180 minutes from the start of meal consumption. A sample size of 28 subjects was calculated to detect a difference of 12 % in the incremental area under the glucose concentration curve across interventions with a power of 80 % (α = 0.05 after corrections for comparisons vs control) assuming a pooled SD of 20 %. Peak glucose was significantly lower (P < 0.001) after both HPMC-containing meals (7.4 mmol/L [4 g] and 7.4 mmol/L [8 g]) compared with the control cellulose (8.6 mmol/L). The incremental area under the curve for glucose and insulin, and peak insulin concentration from 0 to 120 minutes were also significantly reduced after both HPMC doses versus control (all P < 0.01), as was the incremental area for glucose from 0 to 180 minutes. No dose-response relationship was observed in this study.",Maki et al. (2007): 10.2337/dc06-2344,,,,,,,,,,,,,,,,,,
Finished,Consumption of alpha-cyclodextrin as a part of a starch-containing meal contributes to the reduction of the blood glucose rise after that meal,Art. 13(1),Alpha-cyclodextrin,Nutrient,Macronutrient,Food which contains at least 5g of alpha-cyclodextrin per 50g of starch in a quantified portion as part of the meal. ,,"Matrix: food (general)
Must contain: alpha-cyclodextrin
- Unit: g/50g starch/portion
- Value: ≥5",,5g of alpha-cyclodextrin per 50g of starch in a quantified portion as part of the meal. ,"Unit: g/50g starch/portion
Value: ≥5
",g/50g starch,≥5,portion,Adults willing to reduce their post-prandial glycaemic responses,"age: http://purl.bioontology.org/ontology/MESH/D000328 
socialContext: ""willing to reduce their post-prandial glycaemic responses""",,Increased blood glucose,http://purl.bioontology.org/ontology/MEDDRA/10005557,Exact Match,Reducing a risk factor,Reduction of post-prandial glycaemic responses,"2010;8(2):1479, 2012;10(6):2713","In the study by Buckley et al. (2006), the effects of boiled white rice with 50 g of digestible carbohydrates, to which 0, 2, 5 or 10 g of alpha-cyclodextrin were added, on post-prandial glycaemic and insulinaemic responses were investigated in 10 healthy subjects (five females), using a double-blind, randomised cross-over design. All subjects received the four test meals on a single occasion, after an overnight fast, with a wash-out period of two days. Blood glucose and insulin concentrations were measured at baseline and over a 2 h period after the ingestion of each meal. Repeated measures analysis of variance (RM-ANOVA) followed by pair-wise comparison of the means by using a test of least significant differences was used to determine the effects of the treatment. The incremental area under the curve (iAUC) for the glucose response was significantly lower for the boiled white rice to which 5 g (mean±SEM -20.4±15.4%; p=0.03) or 10 g (mean±SEM - 49.6±9.9%; p=0.001) alpha-cyclodextrin was added compared to the control rice (without alphacyclodextrin). No effect on post-prandial serum insulin concentrations was observed for either dose of alpha-cyclodextrin. The Panel notes that this study shows a dose-dependent effect of alphacyclodextrin on reduction of post-prandial glycaemic responses without disproportionally increasing post-prandial insulinaemic responses.",Buckley et al. (2006): 10.1159/000090498,"The unpublished study by Diamantis and Bär (2002b) was a single-blind, cross-over study in 12 healthy males (age 23-24 years and mean weight of 73.3 kg) to determine the effect of alpha-cyclodextrin on the glycaemic and insulinaemic response to starch. Subjects consumed either 100 g white bread (providing 50 g starch) together with 0 or 10 g alpha-cyclodextrin or 25 g alphacyclodextrin alone (alpha-cyclodextrin was dissolved in 250 ml water) in fasting conditions, with a wash-out period of at least two days. Blood glucose and serum insulin concentrations were measured before and up to 180 min after the consumption of the meal. The glycaemic response of alphacyclodextrin and of white bread with alpha-cyclodextrin was 4.3 % and 43 % relative to that of the bread alone (100 %), respectively. The insulinaemic response of white bread with alpha-cyclodextrin was 45 % relative to that of the bread alone (100 %). The iAUC for blood glucose concentrations was significantly lower after consumption of the starch together with 10 g alpha-cyclodextrin compared to alpha-Cyclodextrin and reduction of post-prandial glycaemic responses (further assessment) EFSA Journal 2012;10(6):2713 8 the control (starch without alpha-cyclodextrin) (-58.63%; mean±SEM: 1543.5±469.6 vs. 3731.2±581.9 mg/dl/min; p<0.01), as was the iAUC for insulin (-56.48%, mean±SEM: 2559.9±255.2 μU/ml/min vs. 5883.5±479.0 μU/ml/min; p<0.001). Data were also analysed using a linear mixed model. A significant difference between consumption of the starch to which 10 g alpha-cyclodextrin was added and consumption of the control starch was found for T15-T90 min for glucose concentrations and for T30-T45 min for insulin concentrations. The Panel notes that this study shows an effect of alpha-cyclodextrin on reduction of post-prandial glycaemic responses without disproportionally increasing post-prandial insulinaemic responses.",Diamantis and Bär (2002b): unpublished,"The study by Gentilcore et al. (2011) was a double-blind, randomised cross-over study to investigate the effect of alpha-cyclodextrin on the gastric emptying of, and the glycaemic response to, an oral sucrose load. Thirteen subjects (median age 70 years, BMI 26.9 kg/m2 ) consumed a drink comprising 100 g sucrose dissolved in water, or 10 g of alpha-cyclodextrin added to 100 g sucrose before being dissolved in water (total volume of the drink 300 ml), with a wash-out period of at least seven days. Three subjects did not complete the study. Blood glucose and serum insulin concentrations were measured before and up to 300 min after consumption of the drink. Absolute values for blood glucose and serum insulin concentrations were analysed using repeated-measures two-way ANOVA followed by post hoc analyses of differences between treatments at each time point, corrected for multiple comparisons. No statistically significant difference in the iAUC for the glucose and insulin response between the control and the alpha-cyclodextrin group was shown. Peak blood glucose (p=0.88) and serum insulin (p=0.22) concentrations were not statistically significantly different between the control and alpha-cyclodextrin group. A significant treatment x time interaction (p<0.001) for blood glucose concentrations was observed. At t=60 min blood glucose was slightly greater (p<0.05) and at t=180 and 210 min slightly less (p<0.005) after the control drink when compared to alpha-cyclodextrin. The Panel notes that this study does not show an effect of alpha-cyclodextrin added to sucrose on reduction of post-prandial glycaemic responses.",Gentilcore et al. (2011): 10.1017/S0007114511000444,,,,,,,,,,,,,,
Finished,Consumption of arabinoxylan as part of a meal contributes to a reduction of the blood glucose rise after that meal ,Art. 13(1),Arabinoxylan produced from wheat endosperm,Nutrient,Macronutrient,Food which contains at least 8g of arabinoxylan (AX)-rich fibre produced from wheat endosperm (at least 60% AX by weight) per 100g of available carbohydrates in a quantified portion as part of the meal. ,,"Matrix: food (general)
Must contain: arabinoxylan-rich fibre from wheat endosperm
- Unit: g/100g available carbohydrates/portion
- Value: ≥8",https://foodb.ca/compounds/FDB021458,8g AX per 100g of available carbohydrates in a quantified portion as part of the meal. ,"Unit: g/100g available carbohydrates/portion
Value: ≥8",g/100g available carbohydrates,≥8,portion,Individuals who wish to reduce their post-prandial glycaemic responses,"age: http://purl.bioontology.org/ontology/MESH/D000328 
socialContext: ""willing to reduce their post-prandial glycaemic responses""",,Increased blood glucose,http://purl.bioontology.org/ontology/MEDDRA/10005557,Exact Match,Reducing a risk factor,Reduction of post-prandial glycaemic responses,2011;9(6):2205,"In the study by Lu et al. (2000), the effects of three breads containing 0, 6 or 12 g of AX-rich fibre (i.e. extracted from the by-products of wheat flour processing) on induced post-prandial glycaemic and insulinaemic responses were investigated in 14 subjects (9 female) with normal glucose tolerance using a randomised cross-over design. The breads were consumed in the context of a standard breakfast (10 g protein, 14 g fat) containing 75 g of available carbohydrates (50 g starch from bread, 25 g sugars from jam). All subjects received the three test breakfasts on a single occasion 3 days apart. The AX-rich fibre contained 70 % NSPs by weight, with a soluble:total NSP ratio of 0.62, an AX:total NSP ratio of 0.90 and an arabinose:xylose ratio of 0.60. Blood glucose and insulin concentrations were measured at baseline and 15, 30, 45, 60, 75, 90 and 120 min after each breakfast. A repeated-measures general linear model using time, meal type, and time and meal type interaction as within-subject factors was used to compare the effects of breakfast meals containing different amounts of AX-rich fibre at different time points over 2 h post-prandial. Differences in incremental areas under the curve (iAUCs) for glucose and insulin responses, as well as dose-response relationships, were also assessed. Fasting plasma glucose did not differ between the three interventions. Blood glucose concentrations peaked at 30 min after consumption of the meals, and peak post-prandial glucose concentrations after the meals containing 6 and 12 g of AX-rich fibre were significantly lower than after the control meal (p<0.01 and p<0.001, respectively). No significant differences were observed between meals containing 6 and 12 g of AX-rich fibre. Fasting plasma insulin did not differ between the three interventions and insulin concentrations peaked at 30 min after consumption of the three meals. Differences in blood insulin concentrations did not differ significantly between meals except for the 12 g of AX-rich fibre vs. the control meal at 45 min postprandial (p<0.001). The iAUC for glucose was significantly lower during the 6 g AX-rich fibre meal than during the control meal (-20.2 %, p<0.05), and significantly lower during the 12 g AX-rich fibre meal than during the 6 g AX-rich fibre meal (p<0.05) and the control meal (-41.4 %, p<0.01). The iAUC for insulin was significantly lower during the 6 g AX-rich fibre meal (-17.0 %, p<0.05) and that during the 12 g AX-rich fibre meal (-32.7 %, p<0.001) than during the control meal. No significant differences were observed between the 6 g and the 12 g AX-rich fibre meals with respect to iAUC for insulin. A significant inverse relationship was observed between the amount of AX-rich fibre in meals and the mean iAUC for glucose (r2 = -0.989, p=0.033) and for insulin (r2 = -0.999, p=0.008). The Panel notes that this study shows a dose-dependant effect of AX-rich fibre on the reduction of post-prandial glycaemic responses without disproportionally increasing post-prandial insulinaemic responses",Lu et al. (2000): 10.1093/ajcn/71.5.1123,,,,,,,,,,,,,,,,,,
