Claim,Food,Phenotype,Health relationship
Consumption of alpha-cyclodextrin as a part of a starch-containing meal contributes to the reduction of the blood glucose rise after that meal,"['alpha-cyclodextrin', 'starch-containing meal']",['blood glucose'],['reducing a risk factor']
Consumption of arabinoxylan as part of a meal contributes to a reduction of the blood glucose rise after that meal ,"['arabinoxylan', 'meal']",['blood glucose'],['reducing a risk factor']
Consumption of beta-glucans from oats or barley as part of a meal contributes to the reduction of the blood glucose rise after that meal ,"['beta-glucans', 'oats', 'barley']",['blood glucose'],['reducing a risk factor']
Consumption of foods containing fructose leads to a lower blood glucose rise compared to foods containing sucrose or glucose ,"['fructose', 'sucrose', 'glucose']",['blood glucose'],"['reducing a risk factor', 'enhancing a function', 'enhancing a function']"
Consumption of foods/drinks containing [name of sugar replacer] instead of sugar* contributes to the maintenance of tooth mineralisation,['name of sugar replacer'],['tooth mineralisation'],['enhances function']
Consumption of foods/drinks containing [name of sugar replacer] instead of sugar* induces a lower blood glucose rise after their consumption compared to sugar-containing foods/drinks,"['sugar replacer', 'sugar']","['blood glucose', 'consumption']","['reducing a risk factor', 'maintenance of function']"
Consumption of pectins with a meal contributes to the reduction of the blood glucose rise after that meal,"['pectins', 'meal']",['blood glucose'],['reducing a risk factor']
Copper contributes to maintenance of normal connective tissues,['Copper'],['connective tissues'],['enhancing a function']
Copper contributes to normal energy-yielding metabolism,['Copper'],['energy-yielding metabolism'],['enhancing a function']
Copper contributes to normal functioning of the nervous system,['Copper'],['nervous system'],['contributes to normal functioning of']
Copper contributes to normal hair pigmentation,['Copper'],['hair pigmentation'],['contributes to']
Copper contributes to normal iron transport in the body,['Copper'],['iron transport'],['contributing to']
Copper contributes to normal skin pigmentation,['Copper'],['skin pigmentation'],['contributing to']
Copper contributes to the normal function of the immune system,['Copper'],['immune system'],['contributing to the normal function of']
Copper contributes to the protection of cells from oxidative stress,['Copper'],"['cells', 'oxidative stress']",['enhancing a function']
"Creatine increases the physical performance in successive bursts of short-term, high intensity exercise ",['Creatine'],"['physical performance', 'bursts of short-term', 'high intensity exercise']","['enhancing a function', 'maintenance of function']"
DHA and EPA contribute to the maintenance of normal blood pressure,"['DHA', 'EPA']",['maintenance of normal blood pressure'],['contribute to']
DHA and EPA contribute to the maintenance of normal blood triglyceride levels ,"['DHA', 'EPA']",['blood triglyceride levels'],"['contribute to the maintenance of', 'contribute to the maintenance of']"
DHA contributes to maintenance of normal brain function,['DHA'],['brain function'],['maintenance of function']
DHA contributes to the maintenance of normal blood triglyceride levels,['DHA'],['blood triglyceride levels'],['maintenance of function']
DHA contributes to the maintenance of normal vision,['DHA'],['maintenance of normal vision'],['maintenance of function']
Dried plums/prunes contribute to normal bowel function,['Dried plums/prunes'],['normal bowel function'],['contributing to maintenance of function']
EPA and DHA contribute to the normal function of the heart,"['EPA', 'DHA']",['heart'],"['enhancing a function', 'enhancing a function']"
Fluoride contributes to the maintenance of tooth mineralisation,['Fluoride'],['tooth mineralisation'],['maintenance of function']
Folate contributes to maternal tissue growth during pregnancy,['Folate'],"['maternal tissue growth', 'pregnancy']",['contributes to']
Folate contributes to normal amino acid synthesis,['Folate'],['amino acid synthesis'],['enhancing a function']
Folate contributes to normal blood formation,['Folate'],['normal blood formation'],['contributes to']
Folate contributes to normal homocysteine metabolism,['Folate'],['homocysteine'],['contributes to']
Folate contributes to normal psychological function,['Folate'],['psychological function'],['enhancing a function']
Folate contributes to the normal function of the immune system,['Folate'],['immune system'],['enhancing a function']
Folate contributes to the reduction of tiredness and fatigue,['Folate'],"['reduction of tiredness', 'fatigue']",['contributes to']
Folate has a role in the process of cell division,['Folate'],['cell division'],['enhancing a function']
Glucomannan contributes to the maintenance of normal blood cholesterol levels,['Glucomannan'],['normal blood cholesterol levels'],['maintenance of function']
Glucomannan in the context of an energy restricted diet contributes to weight loss,['Glucomannan'],"['energy restricted diet', 'weight loss']",['contributes to']
Guar gum contributes to the maintenance of normal blood cholesterol levels,['Guar gum'],['blood cholesterol levels'],['contributing to the maintenance of function']
Hydroxypropyl methylcellulose contributes to the maintenance of normal blood cholesterol levels,['Hydroxypropyl methylcellulose'],['normal blood cholesterol levels'],['maintenance of function']
Iodine contributes to normal cognitive function,['Iodine'],['cognitive function'],['contributes to']
Iodine contributes to normal energy-yielding metabolism,['Iodine'],['normal energy-yielding metabolism'],['contributes to']
Iodine contributes to normal functioning of the nervous system,['Iodine'],['nervous system'],['contributes to']
Iodine contributes to the maintenance of normal skin,['Iodine'],['normal skin'],['contributes to the maintenance of function']
Iodine contributes to the normal production of thyroid hormones and normal thyroid function,['Iodine'],"['thyroid hormones', 'thyroid function']",['contributing to']
Iron contributes to normal cognitive function,['Iron'],['cognitive function'],['enhancing a function']
Iron contributes to normal energy-yielding metabolism,['Iron'],['normal energy-yielding metabolism'],['contributes to']
Iron contributes to normal formation of red blood cells and haemoglobin,['Iron'],"['red blood cells', 'haemoglobin']","['enhancing a function', 'enhancing a function']"
Iron contributes to normal oxygen transport in the body,['Iron'],"['oxygen transport', 'body']",['enhances function']
Iron contributes to the normal function of the immune system,['Iron'],['immune system'],['contributes to the normal function of']
Iron contributes to the reduction of tiredness and fatigue,['Iron'],['reduction of tiredness and fatigue'],['reducing a risk factor']
Iron has a role in the process of cell division,['Iron'],['cell division'],['maintenance of function']
Lactase enzyme improves lactose digestion in individuals who have difficulty digesting lactose,"['Lactase enzyme', 'lactose']","['lactose digestion', 'individuals']","['enhancing a function', 'reducing a risk factor']"
Lactulose contributes to an acceleration of intestinal transit,['Lactulose'],['acceleration of intestinal transit'],['enhancing a function']
Linoleic acid contributes to the maintenance of normal blood cholesterol levels,['Linoleic acid'],['blood cholesterol levels'],['contributes to the maintenance of']
Live cultures in yoghurt or fermented milk improve lactose digestion of the product in individuals who have difficulty digesting lactose ,"['yoghurt', 'fermented milk']","['lactose digestion', 'lactose', 'individuals', 'difficulty digesting lactose']","['improve', 'enhance', 'enhance', 'reduce']"
Magnesium contributes to a reduction of tiredness and fatigue,['Magnesium'],['reduction of tiredness and fatigue'],['contributes to']
Magnesium contributes to electrolyte balance,['Magnesium'],['electrolyte balance'],['contributes to']
Magnesium contributes to normal energy-yielding metabolism,['Magnesium'],['energy-yielding metabolism'],['contributing to']
Magnesium contributes to normal functioning of the nervous system,['Magnesium'],['nervous system'],['maintenance of function']
Magnesium contributes to normal muscle function,['Magnesium'],['normal muscle function'],['contributes to']
Magnesium contributes to normal protein synthesis,['Magnesium'],['normal protein synthesis'],['enhancing a function']
Magnesium contributes to normal psychological function,['Magnesium'],['psychological function'],['contributing to']
Magnesium contributes to the maintenance of normal bones,['Magnesium'],['normal bones'],['contributes to the maintenance of']
Magnesium contributes to the maintenance of normal teeth,['Magnesium'],['maintenance of normal teeth'],['contributes to']
Magnesium has a role in the process of cell division,['Magnesium'],['cell division'],['maintenance of function']
Manganese contributes to normal energy-yielding metabolism,['Manganese'],['normal energy-yielding metabolism'],['contributes to']
Manganese contributes to the maintenance of normal bones,['Manganese'],['maintenance of normal bones'],['contributes to']
Manganese contributes to the normal formation of connective tissues,['Manganese'],['connective tissues'],['enhancing a function']
Manganese contributes to the protection of cells from oxidative stress,['Manganese'],"['cells', 'oxidative stress']","['enhances function', 'reduces risk factor']"
Meat or fish contributes to the improvement of iron absorption when eaten with other foods containing iron,"['Meat', 'fish', 'iron', 'other foods containing iron']",['improvement'],"['enhancing a function', 'maintenance of function']"
Melatonin contributes to the allevation of subjective feelings of jet lag,['Melatonin'],"['subjective feelings', 'jet lag']",['contributing to']
Melatonin contributes to the reduction of time taken to fall asleep,['Melatonin'],['reduction of time taken to fall asleep'],['reducing a risk factor']
Molybdenum contributes to normal sulphur amino acid metabolism,['Molybdenum'],['sulphur amino acid metabolism'],['contributes to']
Monacolin K from red yeast rice contributes to the maintenance of normal blood cholesterol levels,"['Monacolin K', 'red yeast rice']","['blood cholesterol levels', 'normal']",['contributes to the maintenance of']
Niacin contributes to normal energy-yielding metabolism,['Niacin'],['normal energy-yielding metabolism'],['contributes to']
Niacin contributes to normal functioning of the nervous system,['Niacin'],"['normal functioning', 'nervous system']",['maintenance of function']
Niacin contributes to normal psychological function,['Niacin'],['psychological function'],['enhancing a function']
Niacin contributes to the maintenance of normal mucous membranes,['Niacin'],['normal mucous membranes'],['contributes to the maintenance of']
Niacin contributes to the maintenance of normal skin ,['Niacin'],['normal skin'],['contributes to the maintenance of']
Niacin contributes to the reduction of tiredness and fatigue,['Niacin'],['reduction of tiredness and fatigue'],['reducing a symptom']
Oat grain fibre contributes to an increase in faecal bulk,['Oat grain fibre'],['faecal bulk'],['contributes to an increase in']
Olive oil polyphenols contribute to the protection of blood lipids from oxidative stress,['Olive oil polyphenols'],"['blood lipids', 'oxidative stress']","['contribute to the protection of', 'from']"
Pantothenic acid contributes to normal energy-yielding metabolism,['Pantothenic acid'],['normal energy-yielding metabolism'],['contributes to']
Pantothenic acid contributes to normal mental performance,['Pantothenic acid'],['normal mental performance'],['contributing to']
"Pantothenic acid contributes to normal synthesis and metabolism of steroid hormones, vitamin D and some neurotransmitters",['Pantothenic acid'],"['steroid hormones', 'vitamin D', 'neurotransmitters']","['contributes to normal synthesis and metabolism of', 'contributes to normal synthesis and metabolism of', 'contributes to normal synthesis and metabolism of']"
Pantothenic acid contributes to the reduction of tiredness and fatigue,['Pantothenic acid'],"['reduction of tiredness', 'fatigue']","['reducing a risk factor', 'reducing a risk factor']"
Pectins contribute to the maintenance of normal blood cholesterol levels,['Pectins'],['normal blood cholesterol levels'],['contribute to the maintenance of']
Phosphorus contributes to normal energy-yielding metabolism,['Phosphorus'],['energy-yielding metabolism'],['contributes to']
Phosphorus contributes to normal function of cell membranes,['Phosphorus'],['normal function of cell membranes'],['contributing to']
Phosphorus contributes to the maintenance of normal bones,['Phosphorus'],['normal bones'],['contributes to the maintenance of']
Phosphorus contributes to the maintenance of normal teeth,['Phosphorus'],['normal teeth'],['maintenance of function']
Plant sterols/stanols contribute to the maintenance of normal blood cholesterol levels,['Plant sterols/stanols'],['normal blood cholesterol levels'],['contribute to the maintenance of']
Potassium contributes to normal functioning of the nervous system,['Potassium'],['normal functioning of the nervous system'],['contributes to']
Potassium contributes to normal muscle function,['Potassium'],['normal muscle function'],['contributes to']
Potassium contributes to the maintenance of normal blood pressure,['Potassium'],['maintenance of normal blood pressure'],['contributes to the maintenance of']
Protein contributes to a growth in muscle mass,['Protein'],['growth in muscle mass'],['contributes to']
Protein contributes to the maintenance of muscle mass,['Protein'],['muscle mass'],['maintenance of function']
Protein contributes to the maintenance of normal bones,['Protein'],['maintenance of normal bones'],['contributes to the maintenance of']
Reducing consumption of saturated fat contributes to the maintenance of normal blood cholesterol levels,['saturated fat'],['normal blood cholesterol levels'],['reducing a risk factor']
Reducing consumption of sodium contributes to the maintenance of normal blood pressure,['sodium'],['normal blood pressure'],['reducing']
Replacing digestible starches with resistant starch in a meal contributes to a reduction in the blood glucose rise after that meal,"['digestible starches', 'resistant starch']",['blood glucose'],['reducing a risk factor']
Replacing saturated fats in the diet with unsaturated fats contributes to the maintenance of normal blood cholesterol levels. Oleic acid is an unsaturated fat. ,"['saturated fats', 'unsaturated fats', 'Oleic acid']",['normal blood cholesterol levels'],"['reducing a risk factor', 'maintenance of function']"
Replacing saturated fats with unsaturated fats in the diet contributes to the maintenance of normal blood cholesterol levels [MUFA and PUFA are unsaturated fats],"['saturated fats', 'unsaturated fats', 'diet', 'MUFA', 'PUFA']",['normal blood cholesterol levels'],"['reducing a risk factor', 'maintenance of function']"
Riboflavin contributes to normal energy-yielding metabolism,['Riboflavin'],['normal energy-yielding metabolism'],['contributing to']
Riboflavin contributes to normal functioning of the nervous system,['Riboflavin'],['nervous system'],['maintenance of function']
Riboflavin contributes to the maintenance of normal mucous membranes,['Riboflavin'],['maintenance of normal mucous membranes'],['contributes to']
Riboflavin contributes to the maintenance of normal red blood cells,['Riboflavin'],['red blood cells'],['maintenance of function']
Riboflavin contributes to the maintenance of normal skin,['Riboflavin'],['normal skin'],['contributes to the maintenance of function']
Riboflavin contrributes to the maintenance of normal vision,['Riboflavin'],['maintenance of normal vision'],['contributes to the maintenance of']
Riboflavin contributes to the normal metabolism of iron,['Riboflavin'],['iron'],['maintenance of function']
Riboflavin contributes to the protection of cells from oxidative stress,['Riboflavin'],['oxidative stress'],['enhancing a function']
Riboflavin contributes to the reduction of tiredness and fatigue,['Riboflavin'],"['reduction', 'tiredness', 'fatigue']",['reducing']
Rye fibre contributes to normal bowel function,['Rye fibre'],['normal bowel function'],['contributes to']
Selenium contributes to normal spermatogenesis,['Selenium'],['spermatogenesis'],['enhancing a function']
Selenium contributes to the maintenance of normal hair,['Selenium'],['maintenance of normal hair'],['contributes to the maintenance of']
Selenium contributes to the maintenance of normal nails,['Selenium'],['normal nails'],['maintenance of function']
Selenium contributes to the normal function of the immune system,['Selenium'],['immune system'],['contributing to the normal function of']
Selenium contributes to the normal thyroid function,['Selenium'],['thyroid function'],['contributes to']
Selenium contributes to the protection of cells from oxidative stress,['Selenium'],"['Cells', 'Oxidative Stress']","['contributes to the protection of', 'from']"
Substituting one daily meal of an energy restricted diet with a meal replacement contributes to the maintenance of weight after weight loss ,"['energy restricted diet', 'meal replacement']","['weight', 'weight loss']","['maintenance of function', 'enhancing a function', 'reducing a risk factor']"
Substituting two daily meals of an energy restricted diet with meal replacements contributes to weight loss ,"['meal replacements', 'energy restricted diet']",['weight loss'],"['substituting with', 'contributes to']"
Sugar-free chewing gum contributes to the maintenance of tooth mineralization,['Sugar-free chewing gum'],['tooth mineralization'],['maintenance of function']
Sugar-free chewing gum contributes to the neutralisation of plaque acids,['Sugar-free chewing gum'],['neutralisation of plaque acids'],['contributes to']
Sugar-free chewing gum contributes to the reduction of oral dryness,['Sugar-free chewing gum'],['oral dryness'],['reducing a risk factor']
Sugar-free chewing gum with carbamide neutralises plaque acids more effectively than sugar-free chewing gums without carbamide ,"['Sugar-free chewing gum', 'sugar-free chewing gums']","['carbamide', 'plaque acids']","['enhancing a function', 'reducing a risk factor']"
Thiamine contributes to normal energy-yielding metabolism,['Thiamine'],['normal energy-yielding metabolism'],['contributes to']
Thiamine contributes to normal functioning of the nervous system,['Thiamine'],['nervous system'],['contributing to']
Thiamine contributes to normal psychological function,['Thiamine'],['psychological function'],['contributes to']
Thiamine contributes to the normal function of the heart,['Thiamine'],"['normal function', 'heart']","['contributes to', 'of']"
Vitamin A contributes to normal iron metabolism,['Vitamin A'],['iron metabolism'],['contributes to']
Vitamin A contributes to the maintenance of normal mucous membranes,['Vitamin A'],['maintenance of normal mucous membranes'],['contributes to the maintenance of function']
Vitamin A contributes to the maintenance of normal skin,['Vitamin A'],['normal skin'],['contributes to the maintenance of']
Vitamin A contributes to the maintenance of normal vision,['Vitamin A'],['normal vision'],['contributes to the maintenance of function']
Vitamin A contributes to the normal function of the immune system,['Vitamin A'],['immune system'],['enhancing a function']
Vitamin A has a role in the process of cell specialisation,['Vitamin A'],['cell specialisation'],['has a role in']
Vitamin B12 contributes to normal energy-yielding metabolism,['Vitamin B12'],['energy-yielding metabolism'],['contributes to normal']
Vitamin B12 contributes to normal functioning of the nervous system,['Vitamin B12'],['nervous system'],['enhancing a function']
Vitamin B12 contributes to normal homocysteine metabolism,['Vitamin B12'],['homocysteine metabolism'],['contributes to']
Vitamin B12 contributes to normal psychological function,['Vitamin B12'],['psychological function'],['contributes to']
Vitamin B12 contributes to normal red blood cell formation,['Vitamin B12'],['red blood cell formation'],['contributes to']
Vitamin B12 contributes to the normal function of the immune system,['Vitamin B12'],"['normal function', 'immune system']","['contributes to', 'of']"
Vitamin B12 contributes to the reduction of tiredness and fatigue,['Vitamin B12'],"['reduction', 'tiredness', 'fatigue']","['reducing', 'reducing']"
Vitamin B12 has a role in the process of cell division,['Vitamin B12'],['cell division'],['enhancing a function']
Vitamin B6 contributes to normal cysteine synthesis,['Vitamin B6'],['cysteine'],['contributes to']
Vitamin B6 contributes to normal energy-yielding metabolism,['Vitamin B6'],['normal energy-yielding metabolism'],['contributes to']
Vitamin B6 contributes to normal functioning of the nervous system,['Vitamin B6'],"['normal functioning', 'nervous system']",['contributes to']
Vitamin B6 contributes to normal homocysteine metabolism,['Vitamin B6'],['homocysteine'],['contributes to']
Vitamin B6 contributes to norrmal protein and glycogen metabolism,['Vitamin B6'],"['protein', 'glycogen']","['contributes to', 'contributes to']"
Vitamin B6 contributes to normal psychological function,['Vitamin B6'],['psychological function'],['enhancing a function']
Vitamin B6 contributes to normal red blood cell formation,['Vitamin B6'],['red blood cell formation'],['contributes to']
Vitamin B6 contributes to the normal function of the immune system,['Vitamin B6'],"['immune system', 'normal function']",['enhancing a function']
Vitamin B6 contributes to the reduction of tiredness and fatigue,['Vitamin B6'],"['tiredness', 'fatigue']",['reducing']
Vitamin B6 contributes to the regulation of hormonal activity,['Vitamin B6'],['regulation of hormonal activity'],['contributes to']
Vitamin C contributes to maintain the normal function of the immune system during and after intense physical exercise ,['Vitamin C'],"['immune system', 'physical exercise']",['maintenance of function']
Vitamin C contributes to normal collagen formation for the normal function of blood vessels,['Vitamin C'],"['collagen formation', 'blood vessels']","['contributes to', 'is necessary for the normal function of']"
Vitamin C contributes to normal collagen formation for the normal function of bones,['Vitamin C'],"['collagen formation', 'bones']","['contributes to normal', 'for the normal function of']"
Vitamin C contributes to normal collagen formation for the normal function of cartilage,['Vitamin C'],"['collagen formation', 'normal function', 'cartilage']","['contributes to', 'for the normal function of']"
Vitamin C contributes to normal collagen formation for the normal function of gums,['Vitamin C'],"['collagen formation', 'normal function of gums']","['contributes to', 'enhances']"
Vitamin C contributes to normal collagen formation for the normal function of skin,['Vitamin C'],"['collagen formation', 'function of skin']","['contributes to', 'is necessary for']"
Vitamin C contributes to normal collagen formation for the normal function of teeth,['Vitamin C'],"['collagen formation', 'teeth']","['contributes to', 'normal function of']"
Vitamin C contributes to normal energy-yielding metabolism,['Vitamin C'],['energy-yielding metabolism'],['contributes to']
Vitamin C contributes to normal functioning of the nervous system,['Vitamin C'],['normal functioning of the nervous system'],['contributes to']
Vitamin C contributes to normal psychological function,['Vitamin C'],['normal psychological function'],['contributing to maintenance of function']
Vitamin C contributes to the normal function of the immune system,['Vitamin C'],['immune system'],['enhancing a function']
Vitamin C contributes to the protection of cells from oxidative stress,['Vitamin C'],"['cells', 'oxidative stress']","['enhancing a function', 'reducing a risk factor']"
Vitamin C contributes to the reduction of tiredness and fatigue,['Vitamin C'],['reduction of tiredness and fatigue'],['contributing to']
Vitamin C contributes to the regeneration of the reduced form of vitamin E,"['Vitamin C', 'vitamin E']","['regeneration', 'reduced form']",['contributes to']
Vitamin C increases iron absorption,['Vitamin C'],['iron'],['enhancing a function']
Vitamin D contributes to normal absorption/utilisation of calcium and phosphorus,['Vitamin D'],"['calcium', 'phosphorus']","['contributing to', 'contributing to']"
Vitamin D contributes to normal blood calcium levels,['Vitamin D'],['blood calcium levels'],['contributes to']
Vitamin D contributes to the maintenance of normal bones,['Vitamin D'],['normal bones'],['contributes to the maintenance of function']
Vitamin D contributes to the maintenance of normal muscle function,['Vitamin D'],['normal muscle function'],['maintenance of function']
Vitamin D contributes to the maintenance of normal teeth,['Vitamin D'],['normal teeth'],['contributes to the maintenance of']
Vitamin D contributes to the normal function of the immune system,['Vitamin D'],['immune system'],['contributing to the maintenance of function']
Vitamin D has a role in the process of cell division,['Vitamin D'],['cell division'],['has a role in']
Vitamin E contributes to the protection of cells from oxidative stress,['Vitamin E'],"['cells', 'oxidative stress']","['contributes to the protection of', 'from']"
Vitamin K contributes to normal blood clotting,['Vitamin K'],['normal blood clotting'],['enhances a function']
Vitamin K contributes to the maintenance of normal bones,['Vitamin K'],['normal bones'],['maintenance of function']
Walnuts contribute to the improvement of the elasticity of blood vessels,['Walnuts'],"['improvement', 'elasticity', 'blood vessels']",['enhancing a function']
Water contributes to the maintenance of normal physical and cognitive functions,['Water'],['maintenance of normal physical and cognitive functions'],['maintenance of function']
Water contributes to the maintenance of normal regulation of the body's temperature,['Water'],"['maintenance of normal regulation', ""body's temperature""]","['contributes to the', 'contributes to the']"
Wheat bran fibre contributes to an acceleration of intestinal transit,['Wheat bran fibre'],['intestinal transit'],['enhancing a function']
Wheat bran fibre contributes to an increase in faecal bulk,['Wheat bran fibre'],['faecal bulk'],['contributes to an increase in']
Zinc contributes to normal DNA synthesis,['Zinc'],['normal DNA synthesis'],['contributing to']
Zinc contributes to normal acid-base metabolism,['Zinc'],['acid-base metabolism'],['enhancing a function']
Zinc contributes to normal carbohydrate metabolism,['Zinc'],['carbohydrate metabolism'],['contributes to']
Zinc contributes to normal cognitive function,['Zinc'],['cognitive function'],['contributing to']
Zinc contributes to normal fertility and reproduction,['Zinc'],"['normal fertility', 'reproduction']","['contributing to', 'contributing to']"
Zinc contributes to normal macronutrient metabolism,['Zinc'],['macronutrient metabolism'],['contributes to']
Zinc contributes to normal metabolism of fatty acids,['Zinc'],['metabolism of fatty acids'],['contributes to']
Zinc contributes to normal metabolism of vitamin A,"['Zinc', 'vitamin A']",['metabolism of vitamin A'],"['enhancing a function', 'maintenance of function']"
Zinc contributes to normal protein synthesis,['Zinc'],['protein synthesis'],['enhancing a function']
Zinc contributes to the maintenance of normal bones,['Zinc'],['bones'],['maintenance of function']
Zinc contributes to the maintenance of normal hair,['Zinc'],['normal hair'],['contributes to the maintenance of']
Zinc contributes to the maintenance of normal nails,['Zinc'],['normal nails'],['contributes to the maintenance of']
Zinc contributes to the maintenance of normal skin,['Zinc'],['normal skin'],['maintenance of function']
Zinc contributes to the maintenance of normal testosterone levels in the blood,['Zinc'],"['testosterone levels', 'blood']",['contributes to the maintenance of']
Zinc contributes to the maintenance of normal vision,['Zinc'],['normal vision'],['contributes to the maintenance of']
Zinc contributes to the normal function of the immune system,['Zinc'],['immune system'],['contributes to the normal function of']
Zinc contributes to the protection of cells from oxidative stress,['Zinc'],['oxidative stress'],['contributes to']
Zinc has a role in the process of cell division,['Zinc'],['cell division'],['enhancing a function']
Carbohydrates contribute to the recovery of normal muscle function (contraction) after highly intensive and/or long-lasting physical exercise leading to muscle fatigue and the depletion of glycogen stores in skeletal muscle,['Carbohydrates'],"['normal muscle function', 'contraction', 'highly intensive', 'long-lasting', 'physical exercise', 'muscle fatigue', 'depletion of glycogen stores']","['contribute to the recovery of', 'leading to', 'and the depletion of glycogen stores', 'contributing to']"
Consumption of foods/drinks containing [name of all used non-digestible carbohydrates] instead of sugars induces a lower blood glucose rise after their consumption compared to sugar-containing foods/drinks,"['foods/drinks', 'non-digestible carbohydrates', 'sugars']","['blood glucose', 'consumption']","['reducing a risk factor', 'maintenance of function', 'enhancing a function']"
Consumption of foods/drinks containing [name of all used non-fermentable carbohydrates] instead of fermentable carbohydrates contributes to the maintenance of tooth mineralisation,['foods/drinks containing (name of all used non-fermentable carbohydrates)'],['tooth mineralisation'],['maintenance of function']
Daily creatine consumption can enhance the effect of resistance training on muscle strength in adults over the age of 55,['creatine'],"['resistance training', 'muscle strength', 'adults over the age of 55']",['enhancing a function']
Lactitol contributes to normal bowel function by increasing stool frequency,['Lactitol'],"['normal bowel function', 'stool frequency']","['enhancing a function', 'enhancing a function']"
Sugar beet fibre contributes to an increase in faecal bulk,['Sugar beet fibre'],['faecal bulk'],['contributes to an increase in']
Calcium and vitamin D help to reduce the loss of bone mineral in post-menopausal women. Low bone mineral density is a risk factor for osteoporotic bone fractures,"['Calcium', 'vitamin D']","['bone mineral', 'post-menopausal women', 'Low bone mineral density', 'osteoporotic bone fractures']","['enhancing a function', 'reducing a risk factor']"
Calcium helps to reduce the loss of bone mineral in post-menopausal women. Low bone mineral density is a risk factor for osteopootic bone fractures,['Calcium'],"['bone mineral', 'post-menopausal women', 'Low bone mineral density', 'osteopootic bone fractures']","['enhancing a function', 'reducing a risk factor']"
Vitamin D helps to reduce the risk of falling associated with postural instability and muscle weakness. Falling is a risk factor for bone fractures among men and women 60 years of age and older,['Vitamin D'],"['risk of falling', 'postural instability', 'muscle weakness', 'bone fractures', 'men and women 60 years of age and older']",['reducing a risk factor']
Replacing saturated fats with unsaturated fats in the diet has been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development or coronary heart disease,"['saturated fats', 'unsaturated fats']","['blood cholesterol', 'High cholesterol', 'risk factor', 'coronary heart disease']","['reducing a risk factor', 'enhancing a function', 'reducing a risk factor']"
