Claim,Rel
DHA and EPA contribute to the maintenance of normal blood triglyceride levels ,"[{'predicate': 'maintenance of function', 'subject': 'DHA and EPA', 'object': 'normal blood triglyceride levels'}]"
DHA contributes to maintenance of normal brain function,[{'predicate': 'maintenance of function'}]
DHA contributes to the maintenance of normal blood triglyceride levels,[{'predicate': 'maintenance of function'}]
DHA contributes to the maintenance of normal vision,[{'predicate': 'maintenance of function'}]
Dried plums/prunes contribute to normal bowel function,[{'predicate': 'maintenance of function'}]
EPA and DHA contribute to the normal function of the heart,[{'predicate': 'maintenance of function'}]
Fluoride contributes to the maintenance of tooth mineralisation,[{'predicate': 'maintenance of function'}]
Folate contributes to maternal tissue growth during pregnancy,[{'predicate': 'enhancing a function'}]
Folate contributes to normal amino acid synthesis,"[{'predicate': 'enhancing a function', 'subject': 'folate', 'object': 'normal amino acid synthesis'}]"
Folate contributes to normal blood formation,[{'predicate': 'maintenance of function'}]
Folate contributes to normal homocysteine metabolism,[{'predicate': 'maintenance of function'}]
Folate contributes to normal psychological function,[{'predicate': 'enhancing a function'}]
Folate contributes to the normal function of the immune system,[{'predicate': 'maintenance of function'}]
Folate contributes to the reduction of tiredness and fatigue,[{'predicate': 'reducing a risk factor'}]
Folate has a role in the process of cell division,[{'predicate': 'maintenance of function'}]
Glucomannan contributes to the maintenance of normal blood cholesterol levels,[{'predicate': 'maintenance of function'}]
Glucomannan in the context of an energy restricted diet contributes to weight loss,[{'predicate': 'reducing a risk factor'}]
Guar gum contributes to the maintenance of normal blood cholesterol levels,[{'predicate': 'maintenance of function'}]
Hydroxypropyl methylcellulose contributes to the maintenance of normal blood cholesterol levels,[{'predicate': 'maintenance of function'}]
Iodine contributes to normal cognitive function,"[{'predicate': 'enhancing a function', 'subject': 'Iodine', 'object': 'cognitive function'}]"
Iodine contributes to normal energy-yielding metabolism,"[{'predicate': 'enhancing a function', 'subject': 'Iodine', 'object': 'energy-yielding metabolism'}]"
Iodine contributes to normal functioning of the nervous system,[{'predicate': 'maintenance of function'}]
Iodine contributes to the maintenance of normal skin,[{'predicate': 'maintenance of function'}]
Iodine contributes to the normal production of thyroid hormones and normal thyroid function,"[{'predicate': 'enhancing a function', 'subject': 'iodine', 'object': 'normal production of thyroid hormones and normal thyroid function'}]"
Iron contributes to normal cognitive function,[{'predicate': 'maintenance of function'}]
Iron contributes to normal energy-yielding metabolism,"[{'predicate': 'enhancing a function', 'subject': 'Iron', 'object': 'normal energy-yielding metabolism'}]"
Iron contributes to normal formation of red blood cells and haemoglobin,[{'predicate': 'enhancing a function'}]
Iron contributes to normal oxygen transport in the body,[{'predicate': 'enhancing a function'}]
Iron contributes to the normal function of the immune system,"[{'predicate': 'enhancing a function', 'subject': 'Iron', 'object': 'immune system'}]"
Iron contributes to the reduction of tiredness and fatigue,[{'predicate': 'reducing a risk factor'}]
Iron has a role in the process of cell division,[{'predicate': 'maintenance of function'}]
Lactase enzyme improves lactose digestion in individuals who have difficulty digesting lactose,"[{'predicate': 'enhancing a function', 'subject': 'Lactase enzyme', 'object': 'lactose digestion'}]"
Lactulose contributes to an acceleration of intestinal transit,"[{'predicate': 'enhancing a function', 'subject': 'Lactulose', 'object': 'acceleration of intestinal transit'}]"
Linoleic acid contributes to the maintenance of normal blood cholesterol levels,[{'predicate': 'maintenance of function'}]
Live cultures in yoghurt or fermented milk improve lactose digestion of the product in individuals who have difficulty digesting lactose ,[{'predicate': 'enhancing a function'}]
Magnesium contributes to a reduction of tiredness and fatigue,[{'predicate': 'reducing a risk factor'}]
Magnesium contributes to electrolyte balance,[{'predicate': 'maintenance of function'}]
Magnesium contributes to normal energy-yielding metabolism,"[{'predicate': 'enhancing a function', 'subject': 'Magnesium', 'object': 'energy-yielding metabolism'}]"
Magnesium contributes to normal functioning of the nervous system,[{'predicate': 'maintenance of function'}]
Magnesium contributes to normal muscle function,[{'predicate': 'maintenance of function'}]
Magnesium contributes to normal protein synthesis,[{'predicate': 'maintenance of function'}]
Magnesium contributes to normal psychological function,[{'predicate': 'maintenance of function'}]
Magnesium contributes to the maintenance of normal bones,[{'predicate': 'maintenance of function'}]
Magnesium contributes to the maintenance of normal teeth,[{'predicate': 'maintenance of function'}]
Magnesium has a role in the process of cell division,[{'predicate': 'maintenance of function'}]
Manganese contributes to normal energy-yielding metabolism,"[{'predicate': 'enhancing a function', 'entities': ['Manganese', 'normal energy-yielding metabolism']}]"
Manganese contributes to the maintenance of normal bones,[{'predicate': 'maintenance of function'}]
Manganese contributes to the normal formation of connective tissues,[{'predicate': 'maintenance of function'}]
Manganese contributes to the protection of cells from oxidative stress,[{'predicate': 'enhancing a function'}]
Meat or fish contributes to the improvement of iron absorption when eaten with other foods containing iron,"[{'predicate': 'enhancing a function', 'subject': 'Meat or fish', 'object': 'iron absorption'}]"
Melatonin contributes to the allevation of subjective feelings of jet lag,"[{'predicate': 'enhancing a function', 'subject': 'Melatonin', 'object': 'subjective feelings of jet lag'}]"
Melatonin contributes to the reduction of time taken to fall asleep,[{'predicate': 'reducing a risk factor'}]
Molybdenum contributes to normal sulphur amino acid metabolism,[{'predicate': 'maintenance of function'}]
Monacolin K from red yeast rice contributes to the maintenance of normal blood cholesterol levels,[{'predicate': 'maintenance of function'}]
Niacin contributes to normal energy-yielding metabolism,"[{'predicate': 'enhancement of function', 'subject': 'Niacin', 'object': 'normal energy-yielding metabolism'}]"
Niacin contributes to normal functioning of the nervous system,[{'predicate': 'maintenance of function'}]
Niacin contributes to normal psychological function,[{'predicate': 'maintenance of function'}]
Niacin contributes to the maintenance of normal mucous membranes,[{'predicate': 'maintenance of function'}]
Niacin contributes to the maintenance of normal skin ,[{'predicate': 'maintenance of function'}]
Niacin contributes to the reduction of tiredness and fatigue,[{'predicate': 'reduction of a risk factor'}]
Oat grain fibre contributes to an increase in faecal bulk,"[{'predicate': 'enhancing a function', 'subject': 'oat grain fibre', 'object': 'increase in faecal bulk'}]"
Olive oil polyphenols contribute to the protection of blood lipids from oxidative stress,[{'predicate': 'enhancing a function'}]
Pantothenic acid contributes to normal energy-yielding metabolism,"[{'predicate': 'enhancing a function', 'subject': 'Pantothenic acid', 'object': 'normal energy-yielding metabolism'}]"
Pantothenic acid contributes to normal mental performance,[{'predicate': 'enhancing a function'}]
"Pantothenic acid contributes to normal synthesis and metabolism of steroid hormones, vitamin D and some neurotransmitters",[{'predicate': 'enhancing a function'}]
Pantothenic acid contributes to the reduction of tiredness and fatigue,[{'predicate': 'reducing a risk factor'}]
Pectins contribute to the maintenance of normal blood cholesterol levels,[{'predicate': 'maintenance of function'}]
Phosphorus contributes to normal energy-yielding metabolism,[{'predicate': 'enhancing a function'}]
Phosphorus contributes to normal function of cell membranes,[{'predicate': 'maintenance of function'}]
Phosphorus contributes to the maintenance of normal bones,"[{'predicate': 'maintenance of function', 'entities': ['Phosphorus', 'normal bones']}]"
Phosphorus contributes to the maintenance of normal teeth,[{'predicate': 'maintenance of function'}]
Plant sterols/stanols contribute to the maintenance of normal blood cholesterol levels,[{'predicate': 'maintenance of function'}]
Potassium contributes to normal functioning of the nervous system,[{'predicate': 'maintenance of function'}]
Potassium contributes to normal muscle function,[{'predicate': 'maintenance of function'}]
Potassium contributes to the maintenance of normal blood pressure,[{'predicate': 'maintenance of function'}]
Protein contributes to a growth in muscle mass,"[{'predicate': 'enhancing a function', 'subject': 'Protein', 'object': 'growth in muscle mass'}]"
Protein contributes to the maintenance of muscle mass,[{'predicate': 'maintenance of function'}]
Protein contributes to the maintenance of normal bones,[{'predicate': 'maintenance of function'}]
Reducing consumption of saturated fat contributes to the maintenance of normal blood cholesterol levels,[{'predicate': 'reducing a risk factor'}]
Reducing consumption of sodium contributes to the maintenance of normal blood pressure,[{'predicate': 'reducing a risk factor'}]
Replacing digestible starches with resistant starch in a meal contributes to a reduction in the blood glucose rise after that meal,[{'predicate': 'reducing a risk factor'}]
Replacing saturated fats in the diet with unsaturated fats contributes to the maintenance of normal blood cholesterol levels. Oleic acid is an unsaturated fat. ,"[{'predicate': 'reducing a risk factor', 'subject': 'saturated fats', 'object': 'normal blood cholesterol levels'}, {'predicate': 'maintenance of function', 'subject': 'unsaturated fats', 'object': 'normal blood cholesterol levels'}]"
Replacing saturated fats with unsaturated fats in the diet contributes to the maintenance of normal blood cholesterol levels [MUFA and PUFA are unsaturated fats],[{'predicate': 'reducing a risk factor'}]
Riboflavin contributes to normal energy-yielding metabolism,[{'predicate': 'enhancing a function'}]
Riboflavin contributes to normal functioning of the nervous system,[{'predicate': 'maintenance of function'}]
Riboflavin contributes to the maintenance of normal mucous membranes,[{'predicate': 'maintenance of function'}]
Riboflavin contributes to the maintenance of normal red blood cells,[{'predicate': 'maintenance of function'}]
Riboflavin contributes to the maintenance of normal skin,[{'predicate': 'maintenance of function'}]
Riboflavin contrributes to the maintenance of normal vision,[{'predicate': 'maintenance of function'}]
Riboflavin contributes to the normal metabolism of iron,[{'predicate': 'maintenance of function'}]
Riboflavin contributes to the protection of cells from oxidative stress,[{'predicate': 'enhancing a function'}]
Riboflavin contributes to the reduction of tiredness and fatigue,[{'predicate': 'reducing a risk factor'}]
Rye fibre contributes to normal bowel function,[{'predicate': 'maintenance of function'}]
Selenium contributes to normal spermatogenesis,"[{'predicate': 'enhancing a function', 'subject': 'Selenium', 'object': 'spermatogenesis'}]"
Selenium contributes to the maintenance of normal hair,[{'predicate': 'maintenance of function'}]
Selenium contributes to the maintenance of normal nails,[{'predicate': 'maintenance of function'}]
Selenium contributes to the normal function of the immune system,"[{'predicate': 'enhancing a function', 'entities': ['Selenium', 'immune system']}]"
Selenium contributes to the normal thyroid function,[{'predicate': 'maintenance of function'}]
Selenium contributes to the protection of cells from oxidative stress,[{'predicate': 'enhancing a function'}]
Substituting one daily meal of an energy restricted diet with a meal replacement contributes to the maintenance of weight after weight loss ,[{'predicate': 'maintenance of function'}]
Substituting two daily meals of an energy restricted diet with meal replacements contributes to weight loss ,[{'predicate': 'reducing a risk factor'}]
Sugar-free chewing gum contributes to the maintenance of tooth mineralization,[{'predicate': 'maintenance of function'}]
Sugar-free chewing gum contributes to the neutralisation of plaque acids,[{'predicate': 'enhancing a function'}]
Sugar-free chewing gum contributes to the reduction of oral dryness,[{'predicate': 'reducing a risk factor'}]
Sugar-free chewing gum with carbamide neutralises plaque acids more effectively than sugar-free chewing gums without carbamide ,[{'predicate': 'enhancing a function'}]
Thiamine contributes to normal energy-yielding metabolism,"[{'predicate': 'enhancing a function', 'object': 'energy-yielding metabolism', 'subject': 'Thiamine'}]"
Thiamine contributes to normal functioning of the nervous system,[{'predicate': 'maintenance of function'}]
Thiamine contributes to normal psychological function,[{'predicate': 'maintenance of function'}]
Thiamine contributes to the normal function of the heart,[{'predicate': 'maintenance of function'}]
Vitamin A contributes to normal iron metabolism,"[{'predicate': 'enhancing a function', 'subject': 'Vitamin A', 'object': 'Iron metabolism'}]"
Vitamin A contributes to the maintenance of normal mucous membranes,[{'predicate': 'maintenance of function'}]
Vitamin A contributes to the maintenance of normal skin,[{'predicate': 'maintenance of function'}]
Vitamin A contributes to the maintenance of normal vision,[{'predicate': 'maintenance of function'}]
Vitamin A contributes to the normal function of the immune system,[{'predicate': 'maintenance of function'}]
Vitamin A has a role in the process of cell specialisation,[{'predicate': 'maintenance of function.'}]
Vitamin B12 contributes to normal energy-yielding metabolism,"[{'predicate': 'enhancing a function', 'source_entity': 'Vitamin B12', 'target_entity': 'energy-yielding metabolism'}]"
Vitamin B12 contributes to normal functioning of the nervous system,[{'predicate': 'maintenance of function'}]
Vitamin B12 contributes to normal homocysteine metabolism,[{'predicate': 'maintenance of function'}]
Vitamin B12 contributes to normal psychological function,[{'predicate': 'enhancing a function'}]
Vitamin B12 contributes to normal red blood cell formation,[{'predicate': 'maintenance of function'}]
Vitamin B12 contributes to the normal function of the immune system,"[{'predicate': 'enhancing a function', 'subject': 'Vitamin B12', 'object': 'immune system'}]"
Vitamin B12 contributes to the reduction of tiredness and fatigue,[{'predicate': 'reducing a risk factor'}]
Vitamin B12 has a role in the process of cell division,"[{'predicate': 'maintenance of function', 'subject': 'Vitamin B12', 'object': 'process of cell division'}]"
Vitamin B6 contributes to normal cysteine synthesis,[{'predicate': 'maintenance of function'}]
Vitamin B6 contributes to normal energy-yielding metabolism,"[{'predicate': 'enhancing a function', 'subject': 'Vitamin B6', 'object': 'energy-yielding metabolism'}]"
Vitamin B6 contributes to normal functioning of the nervous system,[{'predicate': 'maintenance of function'}]
Vitamin B6 contributes to normal homocysteine metabolism,[{'predicate': 'maintenance of function'}]
Vitamin B6 contributes to norrmal protein and glycogen metabolism,[{'predicate': 'maintenance of function'}]
Vitamin B6 contributes to normal psychological function,[{'predicate': 'enhancing a function'}]
Vitamin B6 contributes to normal red blood cell formation,"[{'predicate': 'maintenance of function', 'subject': 'Vitamin B6', 'object': 'normal red blood cell formation'}]"
Vitamin B6 contributes to the normal function of the immune system,[{'predicate': 'maintenance of function'}]
Vitamin B6 contributes to the reduction of tiredness and fatigue,[{'predicate': 'reducing a risk factor'}]
Vitamin B6 contributes to the regulation of hormonal activity,[{'predicate': 'enhancing a function'}]
Vitamin C contributes to maintain the normal function of the immune system during and after intense physical exercise ,[{'predicate': 'maintenance of function'}]
Vitamin C contributes to normal collagen formation for the normal function of blood vessels,[{'predicate': 'maintenance of function'}]
Vitamin C contributes to normal collagen formation for the normal function of bones,"[{'predicate': 'enhancing a function', 'subject': 'Vitamin C', 'object': 'normal collagen formation'}]"
Vitamin C contributes to normal collagen formation for the normal function of cartilage,"[{'predicate': 'maintenance of function', 'subject': 'Vitamin C', 'object': 'normal collagen formation of cartilage'}]"
Vitamin C contributes to normal collagen formation for the normal function of gums,[{'predicate': 'maintenance of function'}]
Vitamin C contributes to normal collagen formation for the normal function of skin,[{'predicate': 'enhancing a function'}]
Vitamin C contributes to normal collagen formation for the normal function of teeth,[{'predicate': 'maintenance of function'}]
Vitamin C contributes to normal energy-yielding metabolism,"[{'predicate': 'enhancing a function', 'subject': 'Vitamin C', 'object': 'energy-yielding metabolism'}]"
Vitamin C contributes to normal functioning of the nervous system,[{'predicate': 'maintenance of function'}]
Vitamin C contributes to normal psychological function,"[{'predicate': 'enhancing a function', 'source_entity': 'Vitamin C', 'target_entity': 'psychological function'}]"
Vitamin C contributes to the normal function of the immune system,[{'predicate': 'maintenance of function'}]
Vitamin C contributes to the protection of cells from oxidative stress,[{'predicate': 'reducing a risk factor'}]
Vitamin C contributes to the reduction of tiredness and fatigue,"[{'predicate': 'reducing a risk factor', 'subject': 'Vitamin C', 'object': 'tiredness and fatigue'}]"
Vitamin C contributes to the regeneration of the reduced form of vitamin E,"[{'predicate': 'enhancing a function', 'entity1': 'Vitamin C', 'entity2': 'reduced form of vitamin E'}]"
Vitamin C increases iron absorption,"[{'predicate': 'enhancing a function', 'subject': 'Vitamin C', 'object': 'iron absorption'}]"
Vitamin D contributes to normal absorption/utilisation of calcium and phosphorus,"[{'predicate': 'enhancing a function', 'subject': {'text': 'Vitamin D', 'type': 'bio_entity'}, 'object': {'text': 'calcium', 'type': 'bio_entity'}}, {'predicate': 'enhancing a function', 'subject': {'text': 'Vitamin D', 'type': 'bio_entity'}, 'object': {'text': 'phosphorus', 'type': 'bio_entity'}}]"
Vitamin D contributes to normal blood calcium levels,[{'predicate': 'maintenance of function'}]
Vitamin D contributes to the maintenance of normal bones,[{'predicate': 'maintenance of function'}]
Vitamin D contributes to the maintenance of normal muscle function,[{'predicate': 'maintenance of function'}]
Vitamin D contributes to the maintenance of normal teeth,[{'predicate': 'maintenance of function'}]
Vitamin D contributes to the normal function of the immune system,[{'predicate': 'maintenance of function'}]
Vitamin D has a role in the process of cell division,[{'predicate': 'maintenance of function'}]
Vitamin E contributes to the protection of cells from oxidative stress,"[{'predicate': 'enhancing a function', 'subject': 'Vitamin E', 'object': 'protection of cells from oxidative stress'}]"
Vitamin K contributes to normal blood clotting,"[{'predicate': 'maintenance of function', 'entities': ['Vitamin K', 'blood clotting']}]"
Vitamin K contributes to the maintenance of normal bones,[{'predicate': 'maintenance of function'}]
Walnuts contribute to the improvement of the elasticity of blood vessels,"[{'predicate': 'enhancing a function', 'subject': 'Walnuts', 'object': 'improvement of the elasticity of blood vessels'}]"
Water contributes to the maintenance of normal physical and cognitive functions,[{'predicate': 'maintenance of function'}]
Water contributes to the maintenance of normal regulation of the body's temperature,[{'predicate': 'maintenance of function'}]
Wheat bran fibre contributes to an acceleration of intestinal transit,[{'predicate': 'enhancing a function'}]
Wheat bran fibre contributes to an increase in faecal bulk,"[{'predicate': 'enhancing a function', 'subject': 'Wheat bran fibre', 'object': 'increase in faecal bulk'}]"
Zinc contributes to normal DNA synthesis,"[{'predicate': 'enhancing a function', 'subject': 'Zinc', 'object': 'DNA synthesis'}]"
Zinc contributes to normal acid-base metabolism,[{'predicate': 'maintenance of function'}]
Zinc contributes to normal carbohydrate metabolism,"[{'predicate': 'enhancing a function', 'subject': 'Zinc', 'object': 'carbohydrate metabolism'}]"
Zinc contributes to normal cognitive function,"[{'predicate': 'enhancing a function', 'subject': 'Zinc', 'object': 'normal cognitive function'}]"
Zinc contributes to normal fertility and reproduction,[{'predicate': 'enhancing a function'}]
Zinc contributes to normal macronutrient metabolism,[{'predicate': 'maintenance of function'}]
Zinc contributes to normal metabolism of fatty acids,"[{'predicate': 'maintenance of function', 'subject': 'Zinc', 'object': 'normal metabolism of fatty acids'}]"
Zinc contributes to normal metabolism of vitamin A,"[{'predicate': 'enhancing a function', 'subject': 'Zinc', 'object': 'metabolism of vitamin A'}]"
Zinc contributes to normal protein synthesis,"[{'predicate': 'enhancing a function', 'subject': 'Zinc', 'object': 'protein synthesis'}]"
Zinc contributes to the maintenance of normal bones,[{'predicate': 'maintenance of function'}]
Zinc contributes to the maintenance of normal hair,[{'predicate': 'maintenance of function'}]
Zinc contributes to the maintenance of normal nails,"[{'predicate': 'maintenance of function', 'subject': 'Zinc', 'object': 'normal nails'}]"
Zinc contributes to the maintenance of normal skin,[{'predicate': 'maintenance of function'}]
Zinc contributes to the maintenance of normal testosterone levels in the blood,[{'predicate': 'maintenance of function'}]
Zinc contributes to the maintenance of normal vision,[{'predicate': 'maintenance of function'}]
Zinc contributes to the normal function of the immune system,"[{'predicate': 'enhancing a function', 'object': 'immune system', 'subject': 'Zinc'}]"
Zinc contributes to the protection of cells from oxidative stress,"[{'predicate': 'enhancing a function', 'subject': 'Zinc', 'object': 'cells', 'effect': 'protection from oxidative stress'}]"
Zinc has a role in the process of cell division,[{'predicate': 'maintenance of function'}]
Carbohydrates contribute to the recovery of normal muscle function (contraction) after highly intensive and/or long-lasting physical exercise leading to muscle fatigue and the depletion of glycogen stores in skeletal muscle,[{'predicate': 'maintenance of function'}]
Consumption of foods/drinks containing [name of all used non-digestible carbohydrates] instead of sugars induces a lower blood glucose rise after their consumption compared to sugar-containing foods/drinks,[{'predicate': 'reducing a risk factor'}]
Consumption of foods/drinks containing [name of all used non-fermentable carbohydrates] instead of fermentable carbohydrates contributes to the maintenance of tooth mineralisation,[{'predicate': 'maintenance of function'}]
Daily creatine consumption can enhance the effect of resistance training on muscle strength in adults over the age of 55,"[{'predicate': 'enhancing a function', 'subject': 'creatine consumption', 'object': 'effect of resistance training on muscle strength'}]"
Lactitol contributes to normal bowel function by increasing stool frequency,"[{'predicate': 'enhancing a function', 'object': 'normal bowel function', 'subject': 'Lactitol'}]"
Sugar beet fibre contributes to an increase in faecal bulk,"[{'predicate': 'enhancing a function', 'subject': 'Sugar beet fibre', 'object': 'increase in faecal bulk'}]"
Calcium and vitamin D help to reduce the loss of bone mineral in post-menopausal women. Low bone mineral density is a risk factor for osteoporotic bone fractures,"[{'predicate': 'reducing a risk factor', 'subject': 'Calcium and vitamin D', 'object': 'loss of bone mineral in post-menopausal women'}]"
Calcium helps to reduce the loss of bone mineral in post-menopausal women. Low bone mineral density is a risk factor for osteopootic bone fractures,"[{'predicate': 'reducing a risk factor', 'subject': 'calcium', 'object': 'low bone mineral density'}]"
Vitamin D helps to reduce the risk of falling associated with postural instability and muscle weakness. Falling is a risk factor for bone fractures among men and women 60 years of age and older,[{'predicate': 'reducing a risk factor'}]
Replacing saturated fats with unsaturated fats in the diet has been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development or coronary heart disease,[{'predicate': 'reducing a risk factor'}]
Supplemental folic acid intake increases maternal folate status. Low maternal folate status is a risk factor in the development of neural tube defects in the developing foetus,[{'predicate': 'enhancing a function'}]
Barley beta-glucans has been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease,[{'predicate': 'reducing a risk factor'}]
Chewing gum sweetened with 100% xylitol has been shown to reduce dental plaque. High content/level of dental plaque is a risk factor in the development of caries in children,"[{'predicate': 'reducing a risk factor', 'subject': 'dental plaque', 'object': 'caries'}]"
Oat beta-glucan has been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease,"[{'predicate': 'reducing a risk factor', 'subject': 'High cholesterol', 'object': 'coronary heart disease'}]"
Plant stanol esters have been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease.,"[{'predicate': 'reducing a risk factor', 'subject': 'Plant stanol esters', 'object': 'blood cholesterol'}, {'predicate': 'maintenance of function', 'subject': 'blood cholesterol', 'object': 'coronary heart disease development'}]"
Plant sterols and plant stanol esters have been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease. ,[{'predicate': 'reducing a risk factor'}]
Plant sterols have been shown to lower/reduce blood cholesterol. High cholesterol is a risk factor in the development of coronary heart disease.,[{'predicate': 'reducing a risk factor'}]
Sugar-free chewing gum helps neutralise plaque acids. Plaque acids are a risk factor in the development of dental caries,"[{'predicate': 'reducing a risk factor', 'subject': 'plaque acids', 'object': 'development of dental caries'}]"
Sugar-free chewing gum helps reduce tooth demineralisation. Tooth demineralisation is a risk factor in the development of dental caries. ,[{'predicate': 'reducing a risk factor'}]
Calcium and vitamin D are needed for normal growth and development of bone in children,"[{'predicate': 'maintaining function', 'subject': 'Calcium and vitamin D', 'object': 'bone'}]"
Calcium is needed for normal growth and development of bone in children,"[{'predicate': 'enhancing a function', 'subject': 'Calcium', 'object': 'bone growth and development'}]"
Docosahexaenoic acid (DHA) intake contributes to the normal visual development of infants up to 12 months of age,"[{'predicate': 'enhancing a function', 'subject': 'Docosahexaenoic acid', 'object': 'normal visual development of infants up to 12 months of age'}]"
Docosahexaenoic acid (DHA) maternal intake contributes to the normal brain development of the foetus and breastfed infants,"[{'predicate': 'enhancing a function', 'entities': ['Docosahexaenoic acid (DHA)', 'maternal intake', 'normal brain development', 'foetus', 'breastfed infants']}]"
