Claim,dbpedia_iris,wiki_urls,isFood
Calcium has a role in the process of cell division and specialisation,['http://dbpedia.org/resource/Calcium'],['http://en.wikipedia.org/wiki/Calcium'],1
Calcium is needed for the maintenance of normal bones,['http://dbpedia.org/resource/Calcium'],['http://en.wikipedia.org/wiki/Calcium'],1
Calcium is needed for the maintenance of normal teeth,['http://dbpedia.org/resource/Calcium'],['http://en.wikipedia.org/wiki/Calcium'],1
Carbohydrate-electrolyte solutions contribute to the maintenance of endurance performing during prolonged endurance exercise ,[],[],0
Carbohydrate-electrolyte solutions enhance the absorption of water during physical exercise,['http://dbpedia.org/resource/Water'],['http://en.wikipedia.org/wiki/Water'],1
Carbohydrates contribute to the maintenance of normal brain function,['http://dbpedia.org/resource/Carbohydrate'],['http://en.wikipedia.org/wiki/Carbohydrate'],1
Chitosan contributes to the maintenance of normal blood cholesterol levels,"['http://dbpedia.org/resource/Chitosan', 'http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol']","['http://en.wikipedia.org/wiki/Chitosan', 'http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol']",1
Chloride contributes to normal digestion by production of hydrochloric acid in the stomach,"['http://dbpedia.org/resource/Chloride', 'http://dbpedia.org/resource/Hydrochloric_acid']","['http://en.wikipedia.org/wiki/Chloride', 'http://en.wikipedia.org/wiki/Hydrochloric_acid']",1
Choline contributes to normal homocysteine metabolism,"['http://dbpedia.org/resource/Choline', 'http://dbpedia.org/resource/Homocysteine']","['http://en.wikipedia.org/wiki/Choline', 'http://en.wikipedia.org/wiki/Homocysteine']",1
Choline contributes to normal lipid metabolism,['http://dbpedia.org/resource/Choline'],['http://en.wikipedia.org/wiki/Choline'],1
Choline contributes to the maintenance of normal liver function,['http://dbpedia.org/resource/Choline'],['http://en.wikipedia.org/wiki/Choline'],1
Chromium contributes to normal macronutrient metabolism,[],[],0
Chromium contributes to the maintenance of normal blood glucose levels,['http://dbpedia.org/resource/Glucose'],['http://en.wikipedia.org/wiki/Glucose'],1
Consumption of hydroxypropyl methylcellulose with a meal contributes to a reduction in the blood glucose rise after that meal ,"['http://dbpedia.org/resource/Hypromellose', 'http://dbpedia.org/resource/Methyl_cellulose', 'http://dbpedia.org/resource/Flour', 'http://dbpedia.org/resource/Glucose']","['http://en.wikipedia.org/wiki/Hypromellose', 'http://en.wikipedia.org/wiki/Methyl_cellulose', 'http://en.wikipedia.org/wiki/Flour', 'http://en.wikipedia.org/wiki/Glucose']",1
Consumption of alpha-cyclodextrin as a part of a starch-containing meal contributes to the reduction of the blood glucose rise after that meal,"['http://dbpedia.org/resource/Flour', 'http://dbpedia.org/resource/Glucose']","['http://en.wikipedia.org/wiki/Flour', 'http://en.wikipedia.org/wiki/Glucose']",1
Consumption of arabinoxylan as part of a meal contributes to a reduction of the blood glucose rise after that meal ,"['http://dbpedia.org/resource/Flour', 'http://dbpedia.org/resource/Glucose']","['http://en.wikipedia.org/wiki/Flour', 'http://en.wikipedia.org/wiki/Glucose']",1
Consumption of beta-glucans from oats or barley as part of a meal contributes to the reduction of the blood glucose rise after that meal ,"['http://dbpedia.org/resource/Oat', 'http://dbpedia.org/resource/Barley', 'http://dbpedia.org/resource/Flour', 'http://dbpedia.org/resource/Glucose']","['http://en.wikipedia.org/wiki/Oat', 'http://en.wikipedia.org/wiki/Barley', 'http://en.wikipedia.org/wiki/Flour', 'http://en.wikipedia.org/wiki/Glucose']",1
Consumption of foods containing fructose leads to a lower blood glucose rise compared to foods containing sucrose or glucose ,"['http://dbpedia.org/resource/Fructose', 'http://dbpedia.org/resource/Glucose', 'http://dbpedia.org/resource/Sucrose']","['http://en.wikipedia.org/wiki/Fructose', 'http://en.wikipedia.org/wiki/Glucose', 'http://en.wikipedia.org/wiki/Sucrose']",1
Consumption of foods/drinks containing [name of sugar replacer] instead of sugar* contributes to the maintenance of tooth mineralisation,['http://dbpedia.org/resource/Contributing_property'],['http://en.wikipedia.org/wiki/Contributing_property'],0
Consumption of foods/drinks containing [name of sugar replacer] instead of sugar* induces a lower blood glucose rise after their consumption compared to sugar-containing foods/drinks,['http://dbpedia.org/resource/Glucose'],['http://en.wikipedia.org/wiki/Glucose'],1
Consumption of pectins with a meal contributes to the reduction of the blood glucose rise after that meal,"['http://dbpedia.org/resource/Flour', 'http://dbpedia.org/resource/Glucose']","['http://en.wikipedia.org/wiki/Flour', 'http://en.wikipedia.org/wiki/Glucose']",1
Copper contributes to maintenance of normal connective tissues,[],[],0
Copper contributes to normal energy-yielding metabolism,[],[],0
Copper contributes to normal functioning of the nervous system,[],[],0
Copper contributes to normal hair pigmentation,['http://dbpedia.org/resource/Pigment'],['http://en.wikipedia.org/wiki/Pigment'],1
Copper contributes to normal iron transport in the body,[],[],0
Copper contributes to normal skin pigmentation,[],[],0
Copper contributes to the normal function of the immune system,[],[],0
Copper contributes to the protection of cells from oxidative stress,[],[],0
"Creatine increases the physical performance in successive bursts of short-term, high intensity exercise ","['http://dbpedia.org/resource/Creatine', 'http://dbpedia.org/resource/John_Pelham_(bishop)']","['http://en.wikipedia.org/wiki/Creatine', 'http://en.wikipedia.org/wiki/John_Pelham_(bishop)']",1
DHA and EPA contribute to the maintenance of normal blood pressure,['http://dbpedia.org/resource/Docosahexaenoic_acid'],['http://en.wikipedia.org/wiki/Docosahexaenoic_acid'],1
DHA and EPA contribute to the maintenance of normal blood triglyceride levels ,"['http://dbpedia.org/resource/Docosahexaenoic_acid', 'http://dbpedia.org/resource/Triglyceride']","['http://en.wikipedia.org/wiki/Docosahexaenoic_acid', 'http://en.wikipedia.org/wiki/Triglyceride']",1
DHA contributes to maintenance of normal brain function,['http://dbpedia.org/resource/Docosahexaenoic_acid'],['http://en.wikipedia.org/wiki/Docosahexaenoic_acid'],1
DHA contributes to the maintenance of normal blood triglyceride levels,"['http://dbpedia.org/resource/Docosahexaenoic_acid', 'http://dbpedia.org/resource/Triglyceride']","['http://en.wikipedia.org/wiki/Docosahexaenoic_acid', 'http://en.wikipedia.org/wiki/Triglyceride']",1
DHA contributes to the maintenance of normal vision,['http://dbpedia.org/resource/Docosahexaenoic_acid'],['http://en.wikipedia.org/wiki/Docosahexaenoic_acid'],1
Dried plums/prunes contribute to normal bowel function,['http://dbpedia.org/resource/Prunus_domestica'],['http://en.wikipedia.org/wiki/Plum'],1
EPA and DHA contribute to the normal function of the heart,['http://dbpedia.org/resource/Docosahexaenoic_acid'],['http://en.wikipedia.org/wiki/Docosahexaenoic_acid'],1
Fluoride contributes to the maintenance of tooth mineralisation,['http://dbpedia.org/resource/Fluoride'],['http://en.wikipedia.org/wiki/Fluoride'],1
Folate contributes to maternal tissue growth during pregnancy,['http://dbpedia.org/resource/Mother'],['http://en.wikipedia.org/wiki/Mother'],1
Folate contributes to normal amino acid synthesis,['http://dbpedia.org/resource/Acid'],['http://en.wikipedia.org/wiki/Acid'],1
Folate contributes to normal blood formation,[],[],0
Folate contributes to normal homocysteine metabolism,['http://dbpedia.org/resource/Homocysteine'],['http://en.wikipedia.org/wiki/Homocysteine'],1
Folate contributes to normal psychological function,[],[],0
Folate contributes to the normal function of the immune system,[],[],0
Folate contributes to the reduction of tiredness and fatigue,[],[],0
Folate has a role in the process of cell division,[],[],0
Glucomannan contributes to the maintenance of normal blood cholesterol levels,"['http://dbpedia.org/resource/Glucomannan', 'http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol']","['http://en.wikipedia.org/wiki/Glucomannan', 'http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol']",1
Glucomannan in the context of an energy restricted diet contributes to weight loss,['http://dbpedia.org/resource/Glucomannan'],['http://en.wikipedia.org/wiki/Glucomannan'],1
Guar gum contributes to the maintenance of normal blood cholesterol levels,"['http://dbpedia.org/resource/Guar', 'http://dbpedia.org/resource/Guar_gum', 'http://dbpedia.org/resource/Gum_arabic', 'http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol']","['http://en.wikipedia.org/wiki/Guar', 'http://en.wikipedia.org/wiki/Guar_gum', 'http://en.wikipedia.org/wiki/Gum_arabic', 'http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol']",1
Hydroxypropyl methylcellulose contributes to the maintenance of normal blood cholesterol levels,"['http://dbpedia.org/resource/Hypromellose', 'http://dbpedia.org/resource/Methyl_cellulose', 'http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol']","['http://en.wikipedia.org/wiki/Hypromellose', 'http://en.wikipedia.org/wiki/Methyl_cellulose', 'http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol']",1
Iodine contributes to normal cognitive function,['http://dbpedia.org/resource/Iodine'],['http://en.wikipedia.org/wiki/Iodine'],1
Iodine contributes to normal energy-yielding metabolism,['http://dbpedia.org/resource/Iodine'],['http://en.wikipedia.org/wiki/Iodine'],1
Iodine contributes to normal functioning of the nervous system,['http://dbpedia.org/resource/Iodine'],['http://en.wikipedia.org/wiki/Iodine'],1
Iodine contributes to the maintenance of normal skin,['http://dbpedia.org/resource/Iodine'],['http://en.wikipedia.org/wiki/Iodine'],1
Iodine contributes to the normal production of thyroid hormones and normal thyroid function,['http://dbpedia.org/resource/Iodine'],['http://en.wikipedia.org/wiki/Iodine'],1
Iron contributes to normal cognitive function,[],[],0
Iron contributes to normal energy-yielding metabolism,[],[],0
Iron contributes to normal formation of red blood cells and haemoglobin,['http://dbpedia.org/resource/Cell_(biology)'],['http://en.wikipedia.org/wiki/Cell_(biology)'],0
Iron contributes to normal oxygen transport in the body,['http://dbpedia.org/resource/Oxygen'],['http://en.wikipedia.org/wiki/Oxygen'],1
Iron contributes to the normal function of the immune system,[],[],0
Iron contributes to the reduction of tiredness and fatigue,[],[],0
Iron has a role in the process of cell division,[],[],0
Lactase enzyme improves lactose digestion in individuals who have difficulty digesting lactose,"['http://dbpedia.org/resource/Lactose', 'http://dbpedia.org/resource/Person']","['http://en.wikipedia.org/wiki/Lactose', 'http://en.wikipedia.org/wiki/Person']",1
Lactulose contributes to an acceleration of intestinal transit,['http://dbpedia.org/resource/Lactulose'],['http://en.wikipedia.org/wiki/Lactulose'],1
Linoleic acid contributes to the maintenance of normal blood cholesterol levels,"['http://dbpedia.org/resource/Linoleic_acid', 'http://dbpedia.org/resource/Acid', 'http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol']","['http://en.wikipedia.org/wiki/Linoleic_acid', 'http://en.wikipedia.org/wiki/Acid', 'http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol']",1
Live cultures in yoghurt or fermented milk improve lactose digestion of the product in individuals who have difficulty digesting lactose ,"['http://dbpedia.org/resource/Yogurt', 'http://dbpedia.org/resource/Fermented_milk_products', 'http://dbpedia.org/resource/Lactose', 'http://dbpedia.org/resource/Person']","['http://en.wikipedia.org/wiki/Yogurt', 'http://en.wikipedia.org/wiki/Fermented_milk_products', 'http://en.wikipedia.org/wiki/Lactose', 'http://en.wikipedia.org/wiki/Person']",1
Magnesium contributes to a reduction of tiredness and fatigue,['http://dbpedia.org/resource/Magnesium'],['http://en.wikipedia.org/wiki/Magnesium'],1
Magnesium contributes to electrolyte balance,"['http://dbpedia.org/resource/Magnesium', 'http://dbpedia.org/resource/Electrolyte']","['http://en.wikipedia.org/wiki/Magnesium', 'http://en.wikipedia.org/wiki/Electrolyte']",1
Magnesium contributes to normal energy-yielding metabolism,['http://dbpedia.org/resource/Magnesium'],['http://en.wikipedia.org/wiki/Magnesium'],1
Magnesium contributes to normal functioning of the nervous system,['http://dbpedia.org/resource/Magnesium'],['http://en.wikipedia.org/wiki/Magnesium'],1
Magnesium contributes to normal muscle function,['http://dbpedia.org/resource/Magnesium'],['http://en.wikipedia.org/wiki/Magnesium'],1
Magnesium contributes to normal protein synthesis,['http://dbpedia.org/resource/Magnesium'],['http://en.wikipedia.org/wiki/Magnesium'],1
Magnesium contributes to normal psychological function,['http://dbpedia.org/resource/Magnesium'],['http://en.wikipedia.org/wiki/Magnesium'],1
Magnesium contributes to the maintenance of normal bones,['http://dbpedia.org/resource/Magnesium'],['http://en.wikipedia.org/wiki/Magnesium'],1
Magnesium contributes to the maintenance of normal teeth,['http://dbpedia.org/resource/Magnesium'],['http://en.wikipedia.org/wiki/Magnesium'],1
Magnesium has a role in the process of cell division,['http://dbpedia.org/resource/Magnesium'],['http://en.wikipedia.org/wiki/Magnesium'],1
Manganese contributes to normal energy-yielding metabolism,['http://dbpedia.org/resource/Manganese'],['http://en.wikipedia.org/wiki/Manganese'],1
Manganese contributes to the maintenance of normal bones,['http://dbpedia.org/resource/Manganese'],['http://en.wikipedia.org/wiki/Manganese'],1
Manganese contributes to the normal formation of connective tissues,['http://dbpedia.org/resource/Manganese'],['http://en.wikipedia.org/wiki/Manganese'],1
Manganese contributes to the protection of cells from oxidative stress,['http://dbpedia.org/resource/Manganese'],['http://en.wikipedia.org/wiki/Manganese'],1
Meat or fish contributes to the improvement of iron absorption when eaten with other foods containing iron,['http://dbpedia.org/resource/Cannibalism'],['http://en.wikipedia.org/wiki/Cannibalism'],0
Melatonin contributes to the allevation of subjective feelings of jet lag,['http://dbpedia.org/resource/Melatonin'],['http://en.wikipedia.org/wiki/Melatonin'],1
Melatonin contributes to the reduction of time taken to fall asleep,['http://dbpedia.org/resource/Melatonin'],['http://en.wikipedia.org/wiki/Melatonin'],1
Molybdenum contributes to normal sulphur amino acid metabolism,"['http://dbpedia.org/resource/Sulfur', 'http://dbpedia.org/resource/Acid']","['http://en.wikipedia.org/wiki/Sulfur', 'http://en.wikipedia.org/wiki/Acid']",1
Monacolin K from red yeast rice contributes to the maintenance of normal blood cholesterol levels,"['http://dbpedia.org/resource/Potassium', 'http://dbpedia.org/resource/Yeast', 'http://dbpedia.org/resource/Rice', 'http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol']","['http://en.wikipedia.org/wiki/Potassium', 'http://en.wikipedia.org/wiki/Yeast', 'http://en.wikipedia.org/wiki/Rice', 'http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol']",1
Niacin contributes to normal energy-yielding metabolism,['http://dbpedia.org/resource/Niacin'],['http://en.wikipedia.org/wiki/Niacin'],1
Niacin contributes to normal functioning of the nervous system,['http://dbpedia.org/resource/Niacin'],['http://en.wikipedia.org/wiki/Niacin'],1
Niacin contributes to normal psychological function,['http://dbpedia.org/resource/Niacin'],['http://en.wikipedia.org/wiki/Niacin'],1
Niacin contributes to the maintenance of normal mucous membranes,['http://dbpedia.org/resource/Niacin'],['http://en.wikipedia.org/wiki/Niacin'],1
Niacin contributes to the maintenance of normal skin ,['http://dbpedia.org/resource/Niacin'],['http://en.wikipedia.org/wiki/Niacin'],1
Niacin contributes to the reduction of tiredness and fatigue,['http://dbpedia.org/resource/Niacin'],['http://en.wikipedia.org/wiki/Niacin'],1
Oat grain fibre contributes to an increase in faecal bulk,"['http://dbpedia.org/resource/Oat', 'http://dbpedia.org/resource/Fiber']","['http://en.wikipedia.org/wiki/Oat', 'http://en.wikipedia.org/wiki/Fiber']",1
Olive oil polyphenols contribute to the protection of blood lipids from oxidative stress,"['http://dbpedia.org/resource/Olive', 'http://dbpedia.org/resource/Blood_lipids']","['http://en.wikipedia.org/wiki/Olive', 'http://en.wikipedia.org/wiki/Blood_lipids']",1
Pantothenic acid contributes to normal energy-yielding metabolism,"['http://dbpedia.org/resource/Pantothenic_acid', 'http://dbpedia.org/resource/Acid']","['http://en.wikipedia.org/wiki/Pantothenic_acid', 'http://en.wikipedia.org/wiki/Acid']",1
Pantothenic acid contributes to normal mental performance,"['http://dbpedia.org/resource/Pantothenic_acid', 'http://dbpedia.org/resource/Acid']","['http://en.wikipedia.org/wiki/Pantothenic_acid', 'http://en.wikipedia.org/wiki/Acid']",1
"Pantothenic acid contributes to normal synthesis and metabolism of steroid hormones, vitamin D and some neurotransmitters","['http://dbpedia.org/resource/Pantothenic_acid', 'http://dbpedia.org/resource/Carboxylic_acid', 'http://dbpedia.org/resource/Steroid_hormone', 'http://dbpedia.org/resource/Vitamin']","['http://en.wikipedia.org/wiki/Pantothenic_acid', 'http://en.wikipedia.org/wiki/Carboxylic_acid', 'http://en.wikipedia.org/wiki/Steroid_hormone', 'http://en.wikipedia.org/wiki/Vitamin']",1
Pantothenic acid contributes to the reduction of tiredness and fatigue,"['http://dbpedia.org/resource/Pantothenic_acid', 'http://dbpedia.org/resource/Acid']","['http://en.wikipedia.org/wiki/Pantothenic_acid', 'http://en.wikipedia.org/wiki/Acid']",1
Pectins contribute to the maintenance of normal blood cholesterol levels,"['http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol']","['http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol']",1
Phosphorus contributes to normal energy-yielding metabolism,[],[],0
Phosphorus contributes to normal function of cell membranes,[],[],0
Phosphorus contributes to the maintenance of normal bones,[],[],0
Phosphorus contributes to the maintenance of normal teeth,[],[],0
Plant sterols/stanols contribute to the maintenance of normal blood cholesterol levels,"['http://dbpedia.org/resource/Sterol', 'http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol']","['http://en.wikipedia.org/wiki/Sterol', 'http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol']",1
Potassium contributes to normal functioning of the nervous system,['http://dbpedia.org/resource/Potassium'],['http://en.wikipedia.org/wiki/Potassium'],1
Potassium contributes to normal muscle function,['http://dbpedia.org/resource/Potassium'],['http://en.wikipedia.org/wiki/Potassium'],1
Potassium contributes to the maintenance of normal blood pressure,['http://dbpedia.org/resource/Potassium'],['http://en.wikipedia.org/wiki/Potassium'],1
Protein contributes to a growth in muscle mass,[],[],0
Protein contributes to the maintenance of muscle mass,[],[],0
Protein contributes to the maintenance of normal bones,[],[],0
Reducing consumption of saturated fat contributes to the maintenance of normal blood cholesterol levels,"['http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol']","['http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol']",1
Reducing consumption of sodium contributes to the maintenance of normal blood pressure,['http://dbpedia.org/resource/Sodium'],['http://en.wikipedia.org/wiki/Sodium'],1
Replacing digestible starches with resistant starch in a meal contributes to a reduction in the blood glucose rise after that meal,"['http://dbpedia.org/resource/Starch', 'http://dbpedia.org/resource/Flour', 'http://dbpedia.org/resource/Glucose']","['http://en.wikipedia.org/wiki/Starch', 'http://en.wikipedia.org/wiki/Flour', 'http://en.wikipedia.org/wiki/Glucose']",1
Replacing saturated fats in the diet with unsaturated fats contributes to the maintenance of normal blood cholesterol levels. Oleic acid is an unsaturated fat. ,"['http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol', 'http://dbpedia.org/resource/Oleic_acid', 'http://dbpedia.org/resource/Acid']","['http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol', 'http://en.wikipedia.org/wiki/Oleic_acid', 'http://en.wikipedia.org/wiki/Acid']",1
Replacing saturated fats with unsaturated fats in the diet contributes to the maintenance of normal blood cholesterol levels [MUFA and PUFA are unsaturated fats],"['http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol', 'http://dbpedia.org/resource/Polyunsaturated_fatty_acid']","['http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol', 'http://en.wikipedia.org/wiki/Polyunsaturated_fatty_acid']",1
Riboflavin contributes to normal energy-yielding metabolism,['http://dbpedia.org/resource/Riboflavin'],['http://en.wikipedia.org/wiki/Riboflavin'],1
Riboflavin contributes to normal functioning of the nervous system,['http://dbpedia.org/resource/Riboflavin'],['http://en.wikipedia.org/wiki/Riboflavin'],1
Riboflavin contributes to the maintenance of normal mucous membranes,['http://dbpedia.org/resource/Riboflavin'],['http://en.wikipedia.org/wiki/Riboflavin'],1
Riboflavin contributes to the maintenance of normal red blood cells,['http://dbpedia.org/resource/Riboflavin'],['http://en.wikipedia.org/wiki/Riboflavin'],1
Riboflavin contributes to the maintenance of normal skin,['http://dbpedia.org/resource/Riboflavin'],['http://en.wikipedia.org/wiki/Riboflavin'],1
Riboflavin contrributes to the maintenance of normal vision,['http://dbpedia.org/resource/Riboflavin'],['http://en.wikipedia.org/wiki/Riboflavin'],1
Riboflavin contributes to the normal metabolism of iron,['http://dbpedia.org/resource/Riboflavin'],['http://en.wikipedia.org/wiki/Riboflavin'],1
Riboflavin contributes to the protection of cells from oxidative stress,['http://dbpedia.org/resource/Riboflavin'],['http://en.wikipedia.org/wiki/Riboflavin'],1
Riboflavin contributes to the reduction of tiredness and fatigue,['http://dbpedia.org/resource/Riboflavin'],['http://en.wikipedia.org/wiki/Riboflavin'],1
Rye fibre contributes to normal bowel function,['http://dbpedia.org/resource/Fiber'],['http://en.wikipedia.org/wiki/Fiber'],1
Selenium contributes to normal spermatogenesis,['http://dbpedia.org/resource/Selenium'],['http://en.wikipedia.org/wiki/Selenium'],1
Selenium contributes to the maintenance of normal hair,['http://dbpedia.org/resource/Selenium'],['http://en.wikipedia.org/wiki/Selenium'],1
Selenium contributes to the maintenance of normal nails,['http://dbpedia.org/resource/Selenium'],['http://en.wikipedia.org/wiki/Selenium'],1
Selenium contributes to the normal function of the immune system,['http://dbpedia.org/resource/Selenium'],['http://en.wikipedia.org/wiki/Selenium'],1
Selenium contributes to the normal thyroid function,['http://dbpedia.org/resource/Selenium'],['http://en.wikipedia.org/wiki/Selenium'],1
Selenium contributes to the protection of cells from oxidative stress,['http://dbpedia.org/resource/Selenium'],['http://en.wikipedia.org/wiki/Selenium'],1
Substituting one daily meal of an energy restricted diet with a meal replacement contributes to the maintenance of weight after weight loss ,['http://dbpedia.org/resource/Meal_replacement'],['http://en.wikipedia.org/wiki/Meal_replacement'],1
Substituting two daily meals of an energy restricted diet with meal replacements contributes to weight loss ,['http://dbpedia.org/resource/Meal_replacement'],['http://en.wikipedia.org/wiki/Meal_replacement'],1
Sugar-free chewing gum contributes to the maintenance of tooth mineralization,['http://dbpedia.org/resource/Chewing_gum'],['http://en.wikipedia.org/wiki/Chewing_gum'],1
Sugar-free chewing gum contributes to the neutralisation of plaque acids,"['http://dbpedia.org/resource/Chewing_gum', 'http://dbpedia.org/resource/Acid']","['http://en.wikipedia.org/wiki/Chewing_gum', 'http://en.wikipedia.org/wiki/Acid']",1
Sugar-free chewing gum contributes to the reduction of oral dryness,['http://dbpedia.org/resource/Chewing_gum'],['http://en.wikipedia.org/wiki/Chewing_gum'],1
Sugar-free chewing gum with carbamide neutralises plaque acids more effectively than sugar-free chewing gums without carbamide ,"['http://dbpedia.org/resource/Chewing_gum', 'http://dbpedia.org/resource/Urea', 'http://dbpedia.org/resource/Acid', 'http://dbpedia.org/resource/Independent_politician']","['http://en.wikipedia.org/wiki/Chewing_gum', 'http://en.wikipedia.org/wiki/Urea', 'http://en.wikipedia.org/wiki/Acid', 'http://en.wikipedia.org/wiki/Independent_politician']",1
Thiamine contributes to normal energy-yielding metabolism,['http://dbpedia.org/resource/Thiamine'],['http://en.wikipedia.org/wiki/Thiamine'],1
Thiamine contributes to normal functioning of the nervous system,['http://dbpedia.org/resource/Thiamine'],['http://en.wikipedia.org/wiki/Thiamine'],1
Thiamine contributes to normal psychological function,['http://dbpedia.org/resource/Thiamine'],['http://en.wikipedia.org/wiki/Thiamine'],1
Thiamine contributes to the normal function of the heart,['http://dbpedia.org/resource/Thiamine'],['http://en.wikipedia.org/wiki/Thiamine'],1
Vitamin A contributes to normal iron metabolism,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Retinol']","['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_A']",1
Vitamin A contributes to the maintenance of normal mucous membranes,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Retinol']","['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_A']",1
Vitamin A contributes to the maintenance of normal skin,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Retinol']","['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_A']",1
Vitamin A contributes to the maintenance of normal vision,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Retinol']","['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_A']",1
Vitamin A contributes to the normal function of the immune system,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Retinol']","['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_A']",1
Vitamin A has a role in the process of cell specialisation,"['http://dbpedia.org/resource/Vitamin', 'http://dbpedia.org/resource/Retinol']","['http://en.wikipedia.org/wiki/Vitamin', 'http://en.wikipedia.org/wiki/Vitamin_A']",1
